,candle_end_time,open,high,low,close,amount,info,DIF,DEA,MACD,max,min,price_new_high,price_new_low,DIF_new_high,DIF_new_low,last_peak_price,last_peak_dif,last_valley_price,last_valley_dif,state,signal,1日后涨跌幅,1日后是否上涨,5日后涨跌幅,5日后是否上涨,10日后涨跌幅,10日后是否上涨,20日后涨跌幅,20日后是否上涨
422,2007-01-04,2073.25,2139.49,2054.24,2067.09,106720000.0,,97.85658640644374,90.24954740478051,15.214078003326449,2073.25,2067.09,1.0,,1.0,,1936.55,91.81201217610237,1224.1,-28.918050559652556,,,0.0028010391419821534,True,0.07959982390703835,True,0.12094296813394667,True,0.15871587594154102,True
423,2007-01-05,2051.15,2083.4,2030.76,2072.88,92743400.0,,100.46812072338116,92.29326206850064,16.349717309761047,2072.88,2051.15,,,1.0,,2067.09,97.85658640644374,1224.1,-28.918050559652556,,,0.028308440430705017,True,0.04866176527343602,True,0.1559231600478561,True,0.1086025240245454,True
424,2007-01-08,2072.0,2131.74,2071.72,2131.56,84767900.0,,106.05028441074364,95.04466653694925,22.011235747588785,2131.56,2072.0,,,1.0,,2067.09,97.85658640644374,1224.1,-28.918050559652556,,,0.03215016232243051,True,0.0730826249319747,True,0.16877310514365074,True,0.06579218975773626,True
425,2007-01-09,2137.49,2201.36,2128.06,2200.09,81577600.0,,114.68200485627563,98.97213420081452,31.419741310922205,2200.09,2137.49,,,1.0,,2067.09,97.85658640644374,1224.1,-28.918050559652556,,,0.025398960951597216,True,0.06989714057152185,True,0.1400124540359713,True,0.052702389447704334,True
426,2007-01-10,2210.76,2255.97,2194.77,2255.97,84905000.0,,124.595495178487,104.09680639634902,40.99737756427595,2255.97,2210.76,,,1.0,,2067.09,97.85658640644374,1224.1,-28.918050559652556,,,-0.010789150564945338,False,0.02347548947902678,True,0.12431902906510284,True,0.050452798574449176,True
427,2007-01-11,2257.01,2289.95,2224.37,2231.63,86276500.0,,129.00093067106332,109.07763125129189,39.84659883954285,2257.01,2231.63,1.0,,1.0,,2067.09,97.85658640644374,1224.1,-28.918050559652556,,,-0.02593619910110556,False,0.03829487863131442,True,0.09912037389710648,True,0.08019698605951686,True
428,2007-01-12,2215.86,2249.54,2159.77,2173.75,76525700.0,,126.36517864193002,112.53514072941952,27.660075825020982,2215.86,2173.75,,,,,2231.63,129.00093067106332,1224.1,-28.918050559652556,,,0.05225531914893633,True,0.10228407130534789,True,0.15602990224266833,True,0.10281771132834971,True
429,2007-01-15,2170.94,2287.68,2170.94,2287.34,66403100.0,,131.9213822813049,116.41238903979661,31.017986483016557,2287.34,2170.94,,,1.0,,2231.63,129.00093067106332,1224.1,-28.918050559652556,,,0.02908618744917657,True,0.08917345038341473,True,0.12660120489301985,True,0.08658529121162561,True
430,2007-01-16,2310.96,2354.43,2297.24,2353.87,76364300.0,,140.07839217219612,121.14558966627652,37.86560501183919,2353.87,2310.96,,,1.0,,2231.63,129.00093067106332,1224.1,-28.918050559652556,,,-0.01909196344742914,False,0.06553463020472683,True,0.0841210432181898,True,0.07169469851776022,True
431,2007-01-17,2360.41,2393.22,2266.34,2308.93,89015500.0,,141.2879196687952,125.17405566678028,32.22772800402987,2360.41,2308.93,1.0,,1.0,,2231.63,129.00093067106332,1224.1,-28.918050559652556,,,0.003534104541930816,True,0.09853048814818988,True,0.03308891997591967,True,0.12101709449831755,True
