zyzsm,zyzDTO,sxkm,zxkm,zxkmyq,sftj,zssftj,pcdm,pcmc,kldm,kb,yxdh,yxlqfspmxx,zydm,zymc,jhs,zydh,xn,xf,tishi,status,xh,ppkmz,kskldm,zyzmc,zyzdh,zysl
,"[{'zydm': '040106', 'zymc': '学前教育(师范)', 'jhs': '4   ', 'zydh': '01', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611401'}]",历史,不限,不提科目要求,0,0,2,本科批次,1,122,6114,,040106,学前教育(师范),4   ,01,4,3700,,0,1,"71,72,73,74,75,76","1,2,5,6,7,8",成都大学01专业组(不限),611401,6
该专业组各专业就读地点待定，详询院校,"[{'zydm': '120201', 'zymc': '工商管理', 'jhs': '1   ', 'zydh': '01', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}, {'zydm': '120902', 'zymc': '酒店管理', 'jhs': '1   ', 'zydh': '02', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}, {'zydm': '050201', 'zymc': '英语(只招英语考生)', 'jhs': '1   ', 'zydh': '03', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}, {'zydm': '050302', 'zymc': '广播电视学', 'jhs': '1   ', 'zydh': '04', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}]",历史,不限,不提科目要求,0,0,2,本科批次,1,122,6115,,120201,工商管理,1   ,01,4,3700,,0,1,"71,72,73,74,75,76","1,2,5,6,7,8",四川轻化工大学01专业组(不限),611501,6
该专业组各专业就读地点待定，详询院校,"[{'zydm': '120201', 'zymc': '工商管理', 'jhs': '1   ', 'zydh': '01', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}, {'zydm': '120902', 'zymc': '酒店管理', 'jhs': '1   ', 'zydh': '02', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}, {'zydm': '050201', 'zymc': '英语(只招英语考生)', 'jhs': '1   ', 'zydh': '03', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}, {'zydm': '050302', 'zymc': '广播电视学', 'jhs': '1   ', 'zydh': '04', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}]",历史,不限,不提科目要求,0,0,2,本科批次,1,122,6115,,120902,酒店管理,1   ,02,4,3700,,0,1,"71,72,73,74,75,76","1,2,5,6,7,8",四川轻化工大学01专业组(不限),611501,6
该专业组各专业就读地点待定，详询院校,"[{'zydm': '120201', 'zymc': '工商管理', 'jhs': '1   ', 'zydh': '01', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}, {'zydm': '120902', 'zymc': '酒店管理', 'jhs': '1   ', 'zydh': '02', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}, {'zydm': '050201', 'zymc': '英语(只招英语考生)', 'jhs': '1   ', 'zydh': '03', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}, {'zydm': '050302', 'zymc': '广播电视学', 'jhs': '1   ', 'zydh': '04', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}]",历史,不限,不提科目要求,0,0,2,本科批次,1,122,6115,,050201,英语(只招英语考生),1   ,03,4,3700,,0,1,"71,72,73,74,75,76","1,2,5,6,7,8",四川轻化工大学01专业组(不限),611501,6
该专业组各专业就读地点待定，详询院校,"[{'zydm': '120201', 'zymc': '工商管理', 'jhs': '1   ', 'zydh': '01', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}, {'zydm': '120902', 'zymc': '酒店管理', 'jhs': '1   ', 'zydh': '02', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}, {'zydm': '050201', 'zymc': '英语(只招英语考生)', 'jhs': '1   ', 'zydh': '03', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}, {'zydm': '050302', 'zymc': '广播电视学', 'jhs': '1   ', 'zydh': '04', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611501'}]",历史,不限,不提科目要求,0,0,2,本科批次,1,122,6115,,050302,广播电视学,1   ,04,4,3700,,0,1,"71,72,73,74,75,76","1,2,5,6,7,8",四川轻化工大学01专业组(不限),611501,6
,"[{'zydm': '120901', 'zymc': '旅游管理(北校区)', 'jhs': '2   ', 'zydh': '01', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '611701'}]",历史,不限,不提科目要求,0,0,2,本科批次,1,122,6117,,120901,旅游管理(北校区),2   ,01,4,3700,,0,1,"71,72,73,74,75,76","1,2,5,6,7,8",西昌学院01专业组(不限),611701,6
,"[{'zydm': '071101', 'zymc': '心理学(主校区)', 'jhs': '2   ', 'zydh': '01', 'xn': '4', 'xf': '4100', 'tishi': None, 'zyzdh': '612901'}, {'zydm': '120208', 'zymc': '资产评估(主校区)', 'jhs': '3   ', 'zydh': '02', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '612901'}]",历史,不限,不提科目要求,0,0,2,本科批次,1,122,6129,,071101,心理学(主校区),2   ,01,4,4100,,0,1,"71,72,73,74,75,76","1,2,5,6,7,8",成都师范学院01专业组(不限),612901,6
,"[{'zydm': '071101', 'zymc': '心理学(主校区)', 'jhs': '2   ', 'zydh': '01', 'xn': '4', 'xf': '4100', 'tishi': None, 'zyzdh': '612901'}, {'zydm': '120208', 'zymc': '资产评估(主校区)', 'jhs': '3   ', 'zydh': '02', 'xn': '4', 'xf': '3700', 'tishi': None, 'zyzdh': '612901'}]",历史,不限,不提科目要求,0,0,2,本科批次,1,122,6129,,120208,资产评估(主校区),3   ,02,4,3700,,0,1,"71,72,73,74,75,76","1,2,5,6,7,8",成都师范学院01专业组(不限),612901,6
,"[{'zydm': '070501', 'zymc': '地理科学(主校区)', 'jhs': '2   ', 'zydh': '03', 'xn': '4', 'xf': '4100', 'tishi': None, 'zyzdh': '612902'}]",历史,化学或地理,2门科目选考其中一门,0,0,2,本科批次,1,122,6129,,070501,地理科学(主校区),2   ,03,4,4100,,0,2,"71,72,73,75,76","1,2,5,6,7,8",成都师范学院02专业组(化学或地理),612902,6
该专业组各专业均在青义校区学习,"[{'zydm': '1202', 'zymc': '工商管理类', 'jhs': '3   ', 'zydh': '01', 'xn': '4', 'xf': '4440', 'tishi': None, 'zyzdh': '613101'}, {'zydm': '0501', 'zymc': '中国语言文学类', 'jhs': '3   ', 'zydh': '02', 'xn': '4', 'xf': '4440', 'tishi': None, 'zyzdh': '613101'}, {'zydm': '0502', 'zymc': '外国语言文学类', 'jhs': '3   ', 'zydh': '03', 'xn': '4', 'xf': '4440', 'tishi': None, 'zyzdh': '613101'}]",历史,不限,不提科目要求,0,0,2,本科批次,1,122,6131,,1202,工商管理类,3   ,01,4,4440,,0,1,"71,72,73,74,75,76","1,2,5,6,7,8",西南科技大学01专业组(不限),613101,6
