id,code,name,is985,is211,areaCode,areaName,type,typeName,ranking,phoneNo,officialWebsite,maleProportion,femaleProportion,descr,smallImgUrl,bigImgUrl,address,isAd,isTop,isGraduate,isCivilianrun,isIndependent,superior,superiorName,genre,genreName,summary,updateTime,status,isVip,zydm,zydh,zymc,zsjh,sxkm,zxkm,zxkmmc,zyzdh,zyzmc
2302,10359,合肥工业大学,,1,340000,安徽省,2,工科,2302,0551-62902397,bkzs.hfut.edu.cn,77,23,"""合肥工业大学（Hefei University of Technology）简称合工大（HFUT）。坐落于全国四大科教城市之一，大湖名城创新高地的江淮枢纽名城合肥市，创建于1945 年，是教育部直属的全国重点大学、国家“211工程”重点建设高校、“985工程优势学科创新平台”建设高校，“111计划”高校，首批试点“卓越工程师培养计划”高校。由教育部、工业和信息化部与安徽省共建，被誉为汽车领域的“黄埔军校”。学校总面积达5000余亩，在合肥市设有屯溪路校区、六安路校区、翡翠湖校区（以上合称为合肥校区），同时在安徽省宣城市设有合肥工业大学宣城校区，与合肥市共建合肥工业大学智能制造技术研究院，形成了“一校五区”的办学格局。全国首批国家建设高水平大学公派研究生项目签约高校；高水平行业特色大学优质资源共享联盟；全国首批具有自主招生资格的全国重点大学。""",/photo/edu/logo/299.png,/photo/edu/university/299pic.png,安徽省合肥市屯溪路193号,,2,,,,1,教育部,0,公办院校,,2021-06-16T17:11:20,1,,,,,,,,,,
2303,10357,安徽大学,,1,340000,安徽省,1,综合,2303,0551-63861666 63861777,zsb.ahu.edu.cn,63,37,"""安徽大学（Anhui University），简称安大（AHU），坐落于安徽省省会合肥市 ；学校是国家“211工程”重点建设高校，入选“卓越法律人才教育培养计划”，是“国家华文教育基地”和“中国政府奖学金来华留学生接收院校”，由教育部与安徽省人民政府共建。学校部分科系最早可以追溯到1928年4月在安庆创办的、安徽省现代高等教育的开端——原安徽大学；现安徽大学于1958年以合肥大学、原（国立）安徽大学部分科系为基础建立，同年9月毛泽东主席亲笔为学校题写校名，沿用至今。截至2015年12月，学校拥有四个校区和一个大学科技产业园，占地面积3200余亩，建筑面积120余万平方米，仪器设备总值4亿元，馆藏纸质图书320余万册；有教职工2500余人，全日制在校生规模约28000余人：其中研究生6000余人，本、专科生22300余人。""",/photo/edu/logo/297.png,/photo/edu/university/297pic.png,合肥市经济技术开发区九龙路111号；合肥市蜀山区肥西路3号,,2,,,,3,地方,0,公办院校,,2021-06-15T11:09:59,1,,,,,,,,,,
2304,10366,安徽医科大学,,,340000,安徽省,5,医药,2304,0551-65167746,www.ahmu.edu.cn,54,46,"""     安徽医科大学（Anhui Medical University）为安徽省属重点大学，直属安徽省人民政府，由安徽省人民政府、国家卫生和计划生育委员会、中华人民共和国教育部三方共同建设，入选中西部高校基础能力建设工程，成为安徽省高等教育振兴计划第一批“地方特色高水平大学建设”高校，教育部“卓越医生教育培养计划”试点高校。学校前身是1926年5月创办的上海东南医学院。1949年底响应中共中央华东局“面向农村，走向内地”的号召，内迁安徽省，成为安徽省第一所高等医科院校。1952年改名为安徽医学院。1996年6月经国家教委批准，更名为安徽医科大学。截至2014年6月，该校设有22个直属教学机构，5所直属附属医院，6所非直属附属医院。共有在职教职工3733人，在校生共18700余人，其中研究生3160余人，留学生250余人。""",/photo/edu/logo/304.png,/photo/edu/university/304pic.png,安徽省合肥市梅山路81号,,,,,,3,地方,0,公办院校,,2021-06-21T11:09:41,1,,,,,,,,,,
2305,10878,安徽建筑大学,,,340000,安徽省,2,工科,2305,0551-63828083,www.ahjzu.edu.cn,,,"""安徽建筑大学（Anhui Jianzhu University）简称安建大，是国家住房和城乡建设部与安徽省人民政府共建高校  。其前身为安徽建筑工业学院  ，始建于1958年。学校位于安徽省合肥市，是安徽省唯一一所以土建类学科专业为特色的多科性大学。郭沫若先生曾为学校亲题校名，享有“皖江建筑人才摇篮”的美誉。安建大是教育部高等学校本科教学工作水平评估优秀院校、安徽省博士学位授予权立项建设单位、国家“卓越工程师教育培养计划”实施高校、全国建筑类高校就业联盟（ACEA）成员，也是中国千年古建流派之一“徽派建筑“研究与传承的主要高校。安建大有南、北两大校区，占地面积1531亩，图书资源近300万册。学校设有11个二级学院，现有59个本科专业，涵盖工、管、理、艺、文、法、经七大学科门类。全日制本科生17000余人，研究生1000余人。""",/photo/edu/logo/611.png,/photo/edu/university/611pic.png,安徽省合肥市经济技术开发区紫云路292号（南校区）,,,,,,3,地方,0,公办院校,,2020-04-21T13:32:36,1,,,,,,,,,,
2306,10364,安徽农业大学,,,340000,安徽省,3,农业,2306,0551-65786603,zsb.ahau.edu.cn,61,39,"""安徽农业大学（Anhui Agricultural University坐落于安徽省省会合肥市中心城区，是一所办学历史悠久、学科门类齐全、社会影响广泛的安徽省重点大学。学校是中华人民共和国农业部、国家林业局和安徽省人民政府三方共建的综合性大学，国家中西部高校基础能力建设工程重点建设高校，安徽省高等教育振兴计划首批四所“地方特色高水平大学建设”高校之一，被教育部和科技部 列为全国首批建设高等学校新农村发展研究院十所高校之一。安徽农业大学始建于1928年，是安徽省建校最早的高等学府，与民国时期著名的国立安徽大学一脉相承。学校是国家首批硕士学位授权单位，1998年被国务院批准为博士学位授权单位，设有博士后科研流动站。学校是教育部“接受中国政府奖学金来华留学生院校”，入选国家首批卓越农林人才教育培养计划项目试点高校，具有推荐免试研究生资格、副教授自主评审权，具有""""""""""本—硕—博—博士后""""""""""完善的高等教育人才培养体系。截至2016年7月，学校具有国家重点实验室、国家地方联合工程实验室、教育部工程研究中心等40多个省部级和国家级重点科研机构，占地面积3529亩，建筑面积78万平方米，教学科研仪器设备总价值4.7亿元，图书馆藏书320万册。 现有全日制普通在校生21246人，其中硕士、博士研究生2706人。""",/photo/edu/logo/303.png,/photo/edu/university/303pic.png,安徽省合肥市长江西路130号,,,,,,3,地方,0,公办院校,,2020-04-21T13:32:36,1,,,,,,,,,,
2307,10369,安徽中医药大学,,,340000,安徽省,5,医药,2307,0551-68129059,bkzs.ahtcm.edu.cn,50,50,"""安徽中医药大学（Anhui University of Chinese Medicine）坐落于有“江南唇齿，淮右襟喉”之称的历史文化名城——合肥，为安徽省高等教育振兴计划“地方特色高水平大学建设”高校、安徽省高校编制备案制管理试点单位。安徽中医药大学创建于1959年，其前身为1952年创立的安徽省中医进修班（学校）。1959年，安徽省政府正式批准成立安徽中医学院，郭沫若先生题写校名。1970年，安徽中医学院并入安徽医学院。1975年，国家教育部批准恢复安徽中医学院。2000年，安徽省医药学校并入安徽中医学院。2011年，省政府批准在安徽中医学院的基础上组建成立安徽省中医药科学院。2013年，教育部同意安徽中医学院更名为安徽中医药大学。截至2014年12月，学校占地总面积1171亩，有梅山路、史河路、少荃湖三个校区，教学科研仪器设备总值11015万元；图书馆藏书173万册（其中纸质图书92.02万册），古籍部珍藏古籍线装书3.3万册；有全日制在校生12349人（其中博士生、硕士生985人），有教职工2500多人（含两所附院），其中副高以上职称人员500余人；有13个二级学院（部）、3所直属附属医院、4所非直属附属医院，开办21个本科专业。""",/photo/edu/logo/307.png,/photo/edu/university/307pic.png,安徽省合肥市龙子湖路350号（少荃湖校区）,,,,,,3,地方,0,公办院校,,2021-06-16T17:11:20,1,,,,,,,,,,
2309,10370,安徽师范大学,,,340000,安徽省,6,师范,2309,0553-5910161,zsxx.ahnu.edu.cn,54,46,"""安徽师范大学（Anhui Normal University）简称“安师大”（AHNU），位于长江流域区域中心和重要港口城市安徽省芜湖市，是安徽省建校最早的高等学府，与民国时期著名的国立安徽大学一脉相承，2017年中国大学排名中位列107位。安徽师范大学是中华人民共和国教育部和安徽省人民政府共建的安徽省属重点大学，安徽省高等教育振兴计划首批四所地方特色高水平大学建设高校之一，全国首批具有接受公费来华留学生资格的高校、全国首批硕士研究生学位授予权高校、国家华文教育基地；学校具有副教授自审权和推荐免试研究生资格，也是安徽省优先建设的综合性大学，“卓越教师培养计划”实施高校。截至2015年11月，校园占地195.25万平方米，建筑面积90.06万平方米，仪器设备总值4.75亿元，图书285万册，古籍善本600多种，在籍学生37400余人，其中，研究生4800余人，本科生21800余人，留学生200余人，成人本专科生16000余人。""",/photo/edu/logo/308.png,/photo/edu/university/308pic.png,安徽省芜湖市九华南路189号（花津校区）,,,,,,3,地方,0,公办院校,,2020-06-22T16:26:39,1,,,,,,,,,,
2321,10378,安徽财经大学,,,340000,安徽省,8,财经,2321,0552-3176767 3177676,zsjy.aufe.edu.cn,55,45,"""安徽财经大学（Anhui University of Finance and Economics ）简称“安财大”。学校于1959年5月始建于安徽合肥，时名为安徽财贸学院。1961年迁址素有“珍珠城”美誉的淮河流域中心城市蚌埠市。学校先后隶属于中华全国供销合作总社、商业部、国内贸易部。2000年2月，国务院决定，安徽财贸学院实行中央与地方共建，以安徽省政府管理为主。2004年5月，经教育部批准，学校更名为安徽财经大学。学校是一所多学科性高等财经院校，是我国首批具有学士学位授予权、第二批具有硕士学位授予权的高校，是安徽省重点建设的大学。截至2015年11月，学校有交通路校区、龙湖西校区、龙湖东校区三个校区，占地总面积1014050平方米，图书藏量208.47万册，各类中、外文期刊1700余种，在职教职工1407人，其中专任教师994人，在校普通本科生22019人，硕士研究生1676人。""",/photo/edu/logo/315.png,/photo/edu/university/315pic.png,安徽省蚌埠市曹山路962号,,,,,,3,地方,0,公办院校,,2020-06-15T16:39:52,1,,,,,,,,,,
2327,11059,合肥学院,,,340000,安徽省,2,工科,2327,0551-62158118,www.hfuu.edu.cn,62,38,"""合肥学院（Hefei University）坐落于安徽省会合肥市，前身合肥联合大学，由时任合肥市委书记郑锐同志和中国科大副院长、居里夫人中国籍徒弟、新中国放射化学奠基人杨承宗先生创办，2002年3月，经教育部批准，原合肥联合大学和合肥教育学院、合肥师范学校合并组建合肥学院。学校是“中德教育合作示范基地”，首批“服务国家特殊需求硕士人才培养项目”试点学校之一，首批承担“卓越工程师教育培养计划”61所学校之一，全国应用型本科高校专门委员会副主席单位，长三角地区应用型本科高校联盟主席单位，安徽省应用型本科高校联盟常任主席单位，安徽省地方应用型高水平大学建设单位。截至2016年8月，学校共有4个校区，校园占地面积1391亩，建筑面积54万多平方米，设有18个教学单位，55个本科专业，共有教师903人，普通全日制在校生17023人，其中研究生51人，外国留学生54人。李克强和默克尔总理访问合肥学院时表示：合肥学院的办学模式做的很好，是个不错的学校。并题词：三十而立，卓有成效，根深叶茂。""",/photo/edu/logo/643.png,/photo/edu/university/643pic.png,合肥市经济技术开发区锦绣大道99号,,,,,,3,地方,0,公办院校,,2021-06-15T11:09:59,1,,,,,,,,,,
2331,10371,阜阳师范大学,,,340000,安徽省,6,师范,2331,0558-2596225 2591003,www.fynu.edu.cn,49,51,"""阜阳师范学院（Fuyang Normal University）学校创办于1956年，坐落在安徽省域副中心城市，皖西北中心城市，中原经济区门户城市，生态园林滨水城市安徽省阜阳市，是一所公办安徽省省属重点本科院校，国家首批卓越农林人才教育培养计划改革试点高校。1977年开始招收本科生，1978年经国务院批准建立阜阳师范学院，获首批学士学位授予权，安徽省师范类院校排名第四，2005年，阜阳师范学院启动阜阳大学筹建工作，2013年正式获批成为硕士学位授权单位。学校有清河、西湖两个校区，面积共1500余亩，校舍建筑面积54.5万平方米，普通本科在校生1.85万人。学校设置14个教学学院、1个教学部、1个继续教育学院 ，拥有56个本科专业，涵盖文学、理学、教育学、经济学、管理学、历史学、法学、工学、农学、 艺术学等十大学科门类，有3个一级学科硕士授权点。被誉为 “ 皖北地区基础教育的摇篮、人才培养的基地、科技创新的平台、文化建设的窗口 ” 。学校建有独立学院1个—阜阳师范学院信息工程学院，独立学院拥有本科专业22个，现有普通本科在校7377人。""",/photo/edu/logo/309.png,/photo/edu/university/309pic.png,安徽省阜阳市清河西路100号,,,,,,3,地方,0,公办院校,,2021-06-15T17:48:57,1,,,,,,,,,,
2342,10379,宿州学院,,,340000,安徽省,6,师范,2342,0557-3685022 2875361,www.ahszu.edu.cn,58,42,"""宿州学院（Suzhou University）是一所以工学为主，管理学、理学、艺术学、文学、经济学、教育学等多学科协调发展的安徽省省属全日制普通本科高校。学校始建于1949年，2004年经教育部批准升格更名为宿州学院。2009年，获批为安徽省示范应用型本科院校立项建设单位。2013年，通过省示范应用型本科院校项目验收。2014年学校顺利通过教育部本科教学工作合格评估。2015年获批安徽省高等教育振兴计划“地方应用型高水平大学建设”项目立项建设高校。学校是安徽省首批示范应用型本科高校、国家级大学生创新创业训练计划实施高校、安徽省普通高校首批大学生创新创业示范高校、第八届、第九届、第十届安徽省文明单位、安徽省高等学校优秀教学管理集体、安徽省普通高校毕业生就业工作标兵单位、第一届安徽省教育系统文明单位、安徽省地方应用型高水平大学立项建设单位。学校坐落在“扼汴控淮，当南北冲要”的历史文化古城宿州市，是该市唯一一所本科高校，一向被视为皖北地区的文化渊薮，是皖北地区和周边地区重要的人才培养基地。截至2017年3月，学校拥有东、西两个校区，占地1146亩，预留发展用地1160亩，建筑面积44.47万平方米。教学科研仪器设备总值约1.72亿元。馆藏图书279.7万册，其中纸质图书110万册。现有专任教师800多人，各类在校生22000余人，其中全日制在校生近18000人，成人教育函授生4000余人。""",/photo/edu/logo/316.png,/photo/edu/university/316pic.png,安徽省宿州市教育园区,,,,,,3,地方,0,公办院校,,2020-07-06T15:48:08,1,,,,,,,,,,
2343,10372,安庆师范大学,,,340000,安徽省,6,师范,2343,0556-5300117,www.aqnu.edu.cn,50,50,"""安庆师范大学（Anqing Normal University）简称安庆师大（AQNU），位于国家历史文化名城——安徽省安庆市，是直属于安徽省人民政府的全日制普通高等院校。是教育部高等学校本科教学工作水平评估优秀院校、全国首批拥有学士学位授予权的单位。安徽省二本院校。学校始建于1897年的敬敷书院，后与求是学堂合并为安徽大学堂，后改为安徽武备学堂、安徽陆军学堂、安徽法政专门学校；1928年，省立安徽大学在此建立；1946年改为国立安徽大学；1949年改为解放军海军联合学校三分校，1958年起，逐步改为安徽师范高等专科学校、安徽师范大学安庆教学点、安徽师范大学安庆分校；1980年，在安徽师大安庆分校的基础上成立安庆师范学院；2016年经教育部批准更名为安庆师范大学。截至2016年5月，学校有龙山、菱湖两个校区，占地面积2845亩，其中龙山校区占地面积2678 亩，共设有18个二级学院，73个本科专业，5个一级学科硕士点、30个二级学科硕士点、2个专业硕士学位点。有专任教师1200余人，全日制在校生20000余人。""",/photo/edu/logo/310.png,/photo/edu/university/310pic.png,安庆市集贤北路1318号,,,,,,3,地方,0,公办院校,,2020-07-21T21:28:48,1,,,,,,,,,,
2351,10373,淮北师范大学,,,340000,安徽省,6,师范,2351,0561-3803276 3802146,zsb.chnu.edu.cn,51,49,"""淮北师范大学（Huaibei Normal University），简称淮师大，位于国家能源基地、国家园林城市安徽省淮北市，是一所多科性省属重点大学。 2015年，学校进入自然指数（NI）中国大学百强榜，位居中国内地高校第93名，师范院校第19名,安徽省高校第3名。1974年建校，时为安徽师范大学淮北分校。1978年12月经国务院批准，定名为淮北煤炭师范学院，隶属原煤炭工业部，面向全国招生。1998年9月实行“中央与地方共建，以安徽省管理为主”的管理体制。2010年3月经教育部批准，更名为淮北师范大学。2003年获得硕士学位授予权。2009年增列为省级立项建设博士研究生培养单位和博士后培养单位。具有副教授评审权。2015年，淮北师范大学大部分专业列入本科第一批次招生。同年在“2015中国大学ESI高被引论文排行榜”和“2015中国大学ESI高影响论文排行榜 (Top paper)”上表现优异，均居第137位。 学校设有16个学院，72个本科专业，涵盖法学、文学、历史学、教育学、经济学、管理学、艺术学、理学、工学、农学等10大学科门类，有9个一级学科硕士学位授权点、67个二级学科硕士学位授权点、1个教育硕士专业学位授权点、1个工程硕士专业学位授权点。学校占地面积3000余亩（新区2200亩，老校区800亩），建筑面积60万平方米，纸质图书177万册，电子文献折合总量110万册，科研仪器设备总值1.4亿元。""",/photo/edu/logo/311.png,/photo/edu/university/311pic.png,淮北市东山路100号(相山校区)；淮北市沱河东路8号（滨湖校区）,,,,,,3,地方,0,公办院校,,2021-06-22T12:02:04,1,,,,,,,,,,
2361,10360,安徽工业大学,,,340000,安徽省,2,工科,2361,0555-2315351 2315272,zs.ahut.edu.cn,73,27,"""安徽工业大学坐落于安徽省马鞍山，是安徽省重点大学、“中西部高校基础能力建设工程”重点建设高校，安徽省高等教育振兴计划“地方特色高水平大学建设”高校，学校具有推荐免试研究生资格，具有学士、硕士、博士三级学位授予权，具有招收海外留学生的资格，设有博士后科研流动站，同时是国家高水平运动员招生院校、教育部“卓越工程师教育培养计划”实施高校，教育部高等学校本科教学工作水平评估为优秀。学校的前身系隶属原国家冶金工业部的华东冶金学院，是华东地区唯一一所冶金行业本科层次的高等院校，后划归安徽省教育厅，实行中央与地方共建、以安徽省管理为主的管理体制。2000年更名为安徽工业大学，现已发展为一所以工为主，工、经、管、文、理、法、艺等七大学科门类协调发展、具有行业特色的多科性大学。截至2017年3月，学校占地面积2561.5亩，有佳山、秀山两个校区，校舍建筑面积87.7万平方米，教学科研仪器设备总值3.64亿元，馆藏纸质文献205.09万册。设有17个教学院部，78个本科专业，有教职工1962人，全日制本科生20854人（含留学生），各类研究生2423人（含留学生）。""",/photo/edu/logo/300.png,/photo/edu/university/300pic.png,马鞍山市花山区湖东路59号（佳山校区）；马鞍山市马向路新城东区（秀山校区）,,,,,,3,地方,0,公办院校,,2021-06-08T09:05:07,1,,,,,,,,,,
2362,10381,淮南师范学院,,,340000,安徽省,6,师范,2362,0554-6863550,zsw.hnnu.edu.cn,,,"""淮南师范学院(HUAINAN NORMAL UNIVERSITY)隶属于安徽省人民政府，是一所涵盖教育学、文学、理学、工学、经济学、管理学、艺术学、法学、农学等九大学科门类的省属全日制普通本科高校。学校始建于1958年。2000年经教育部批准，原淮南师范专科学校、淮南教育学院、淮南师范学校合并组建淮南师范学院。学校2007年顺利通过了教育部本科教学水平评估并取得“良好”成绩，2009年学校被确定为硕士研究生培养省级立项建设单位，2010年开始与安徽大学联合培养硕士研究生。学校坐落于国家重要能源城安徽省淮南市。学校位于八公山下、淮河之滨，山水相映、风光秀丽，具有浓郁的文化气息，是淮南市政府命名的花园式学校、园林式单位。连续五届获得安徽省文明单位称号。截止2016年9月，学校占地面积1216亩，建筑总面积48万平方米，拥有教科研仪器设备总值1.32亿元；馆藏各类图书170万册。拥有22个配套齐全的各类实验室，10个校内实验实训中心，130多个校外实习实践基地。学校现有化工与材料工程学院等15个二级学院（部）以及继续教育学院、教师教育中心等办学单位，开设65个本科专业。学校现有普通高校全日制在校生近19000人。""",/photo/edu/logo/318.png,/photo/edu/university/318pic.png,安徽淮南市洞山西路（泉山校区）,,,,,,3,地方,0,公办院校,,2021-06-08T09:05:07,1,,,,,,,,,,
2372,10377,滁州学院,,,340000,安徽省,6,师范,2372,0550-3518833,zsw.chzu.edu.cn,55,45,"""滁州学院是安徽省省属全日制普通本科院校，是安徽省地方应用型高水平大学建设学校、国家级大学生创新创业训练计划实施高校。滁州学院前身是创办于1950年的滁州师范学校；1977年设立安徽师范大学滁县教学点（滁州分校）；1980年更名为滁州师范专科学校；2004年5月经教育部批准，升格并定名为滁州学院。截至2016年3月，学校占地面积102.28万平方米，建筑面积38.23万平方米，教学仪器设备总值3.1亿元，固定资产总值近9亿元，建有会峰、琅琊两个校区；共有全日制在校生17461人，成人高等学历教育本专科生3375人，教职工1120人，专任教师770人；开设14个二级学院、55个本科专业、5个专科专业。""",/photo/edu/logo/314.png,/photo/edu/university/314pic.png,滁州市会峰西路1号(会峰校区）；滁州市琅琊西路2号(琅琊校区),,,,,,3,地方,0,公办院校,,2021-06-18T17:50:17,1,,,,,,,,,,
