id,pcid,cid,招生代码,zstype,coname,conamememo,bdenji,选测等级,xdenjinuma,xdenjinumb,xdenjicanchange,diploma,yearno,ty,pici,source_pici,source_zscode,招生专业代码,specname,specflag,specnamememo,specnamememolq,specnamememoplan,招生计划增减,xuezi,xuefei,xuancei,sid,speccode,scateid,stypebig,stypesmall,计划招生,录取人数,最高分,最低分,分差,位次,segmenttotalman,linescore,zypingxing,zyzhengqiu,zyfucong,lastplannum,lastlqnum,2018最高分,2018最低分,2018分差,2018位次,lastsegmenttotalman,lastlinescore,lastzypingxing,lastzyzhengqiu,lastzyfucong,is985,is211,isyan,is11c,is11s,collegelevel,collegetype,province,banxuetype,分差2019,位次2019,分差2018,位次2018,分差2017,位次2017,分差2016,位次2016,分差2015,位次2015,isok,zscode,xdenji,speccodenum,specflag_old,specnamememo_jiu,plannumupdown,plannum,lqnum,maxscore,minscore,minscoreminus,segmentposition,lastmaxscore,lastminscore,lastminscoreminus,lastsegmentposition,minscoreminus2019,segmentposition2019,minscoreminus2018,segmentposition2018,minscoreminus2017,segmentposition2017,minscoreminus2016,segmentposition2016,minscoreminus2015,segmentposition2015
326865,68916,43,,,湖南大学,(长沙),,,7,7,1,本科,2020,文科,本科第一批次,,,,日语,100326865,,,,,四年,5300,√√√√,51,050207,114,文学,外国语言文学类,,,,,,,125,343,3,0,0,3,2,,,,,122,339,2,0,0,1,1,1,1,1,A,综合,湖南,公办院校,,,,,,,,,,,1,5301,B+B+,12,310232496,,0,3,3,392,391,48,1175,382,380,41,1284,41,1284,40,1260,38,1261,22,1761,25,1593
326866,68916,43,,,湖南大学,(长沙),,,7,7,1,本科,2020,文科,本科第一批次,,,,新闻传播学类,100326866,,,,,四年,6000,√√√√,2332,050300,115,文学,新闻传播学类,,,,,,,125,343,3,0,0,3,3,,,,,122,339,3,0,0,1,1,1,1,1,A,综合,湖南,公办院校,,,,,,,,,,,1,5301,B+B+,13,210232495,,0,3,3,395,391,48,1175,382,380,41,1284,41,1284,39,1393,39,1169,22,1761,25,1593
326867,68916,43,,,湖南大学,(长沙),,,7,7,1,本科,2020,文科,本科第一批次,,,,法学,100326867,(农村学生单独招生计划(即高校专项计划)，仅限户籍、学籍等符合报名条件，在当地就读且经公示无异议的考生报考),,,,四年,5500,√√√√,2293,030101,105,法学,法学类,,,,,,,182,343,0,0,0,2,0,,,,,0,339,0,0,0,1,1,1,1,1,A,综合,湖南,公办院校,,,,,,,,,,,1,5301,B+B+,14,210232497,(农村学生单独招生计划(即高校专项计划)，仅限户籍、学籍等符合报名条件，在当地就读且经公示无异议的考生报考),0,2,0,387,382,39,2483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326720,68686,44,,,郑州大学,,,,8,6,1,本科,2020,文科,本科第一批次,,,,经济学类,100326720,,,,,四年,4400,√√√√,2279,020100,101,经济学,经济学类,,,,,,,282,343,3,0,0,3,3,,,,,265,339,3,0,0,0,1,0,1,1,A-,综合,河南,公办院校,,,,,,,,,,,1,5101,AB,01,120326720,,0,3,3,375,375,32,4119,367,366,27,3975,27,3975,0,0,0,0,0,0,0,0
326721,68686,44,,,郑州大学,,,,8,6,1,本科,2020,文科,本科第一批次,,,,工商管理类,100326721,,,,,四年,4400,√√√√,2519,120200,178,管理学,工商管理类,,,,,,,282,343,5,0,0,5,5,,,,,280,339,5,0,0,0,1,0,1,1,A-,综合,河南,公办院校,,,,,,,,,,,1,5101,AB,02,120326721,,0,5,5,377,375,32,4119,367,365,26,4240,26,4240,0,0,0,0,0,0,0,0
326722,68686,44,,,郑州大学,,,,8,6,1,本科,2020,文科,本科第一批次,,,,公共管理类,100326722,,,,,四年,4400,√√√√,2527,120400,180,管理学,公共管理类,,,,,,,282,343,4,0,0,4,4,,,,,358,339,4,0,0,0,1,0,1,1,A-,综合,河南,公办院校,,,,,,,,,,,1,5101,AB,03,120326722,,0,4,4,376,375,32,4119,366,364,25,4520,25,4520,0,0,0,0,0,0,0,0
326723,68686,44,,,郑州大学,,,,8,6,1,本科,2020,文科,本科第一批次,,,,法学类,100326723,,,,,四年,4400,√√√√,2292,030100,105,法学,法学类,,,,,,,243,343,2,0,0,4,4,,,,,265,339,4,0,0,0,1,0,1,1,A-,综合,河南,公办院校,,,,,,,,,,,1,5101,AB,04,910291941,,-2,2,2,383,377,34,3623,368,366,27,3975,27,3975,24,4437,0,0,0,0,0,0
326724,68686,44,,,郑州大学,,,,8,6,1,本科,2020,文科,本科第一批次,,,,中国语言文学类,100326724,,,,,四年,4400,√√√√,2328,050100,113,文学,中国语言文学类,,,,,,,282,343,6,0,0,6,6,,,,,358,339,6,0,0,0,1,0,1,1,A-,综合,河南,公办院校,,,,,,,,,,,1,5101,AB,05,220230583,,0,6,6,377,375,32,4119,366,364,25,4520,25,4520,23,4733,19,5199,0,0,0,0
325455,67065,45,,,南京航空航天大学,,,,8,6,1,本科,2020,文科,本科第一批次,,,,政治学与行政学,100325455,,,,,四年,5200,√√√√,15,030201,106,法学,政治学类,,,,,,,142,343,4,0,0,3,2,,,,,148,339,2,0,0,0,1,1,0,1,A-,工科,江苏,公办院校,,,,,,,,,,,1,1103,AB,01,110210616,,1,4,4,387,385,42,2007,380,377,38,1668,38,1668,36,1839,35,1595,0,0,30,1003
325456,67065,45,,,南京航空航天大学,,,,8,6,1,本科,2020,文科,本科第一批次,,,,公共事业管理,100325456,,,,,四年,5200,√√√√,309,120401,180,管理学,公共管理类,,,,,,,156,343,3,0,0,2,2,,,,,159,339,2,0,0,0,1,1,0,1,A-,工科,江苏,公办院校,,,,,,,,,,,1,1103,AB,02,210131309,,2,4,3,387,384,41,2149,377,376,37,1816,37,1816,0,0,0,0,0,0,0,0
325457,67065,45,,,南京航空航天大学,,,,8,6,1,本科,2020,文科,本科第一批次,,,,法学,100325457,,,,,四年,5200,√√√√,2293,030101,105,法学,法学类,,,,,,,165,343,12,0,0,5,5,,,,,121,339,5,0,0,0,1,1,0,1,A-,工科,江苏,公办院校,,,,,,,,,,,1,1103,AB,03,110210617,,4,9,12,393,387,44,1694,381,379,40,1406,40,1406,36,1839,36,1475,26,1197,28,1207
