id,coname,conamememo,diploma,yearno,ty,pici,一本线,lastplannum,lastlqnum,lastsegmenttotalman,2019一本线,lastzypingxing,is985,is211,isyan,is11c,is11s,collegelevel,collegetype,province,banxuetype,zscode,specialtynum,specialtynum3,xdenji,2020最低投挡线,minscoregailv_2020_xh,minscoregailv_2020_4,minscoregailv_2020_3,minscoregailv_2020_1,2020招生计划,2020招生计划变化,2020最高分,2020最低分,2020线差,2020位次,2019最高分,2019最低分,2019线差,2019位次,2018线差,2018位次,2017线差,2017位次,2016线差,2016位次,2015线差,2015位次
67070,南京理工大学,,本科,2020,文科,本科第一批次,343,30,30,238,339,30,0,1,1,0,1,A-,理工,江苏,公办,1104,4,56,AB,0,382,382,380,381,30,0,0,378,35,3346,381,370,31,2963,32,2558,29,2625,18,2487,16,3181
69388,西安电子科技大学,,本科,2020,文科,本科第一批次,343,0,0,0,0,0,0,1,1,0,1,A,理工,陕西,公办,7105,1,3,,0,0,0,0,0,0,36077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7854
67083,南京农业大学,,本科,2020,文科,本科第一批次,343,149,165,280,339,165,0,1,1,0,1,A-,农林,江苏,公办,1107,12,168,AB,0,375,375,375,375,149,0,0,376,33,3866,380,365,26,4240,26,3895,24,3778,12,3964,11,4475
69372,西北大学,(西安),本科,2020,文科,本科第一批次,343,21,21,337,339,21,0,1,0,0,1,A-,综合,陕西,公办,7101,12,80,BB,373,372,372,372,372,24,3,0,373,30,4702,380,363,24,4878,23,4733,19,5199,8,5292,7,5791
67088,南京师范大学,,本科,2020,文科,本科第一批次,343,657,657,238,339,657,0,1,0,0,1,A-,师范,江苏,公办,1108,28,346,AB,0,381,381,380,381,675,18,0,380,37,2846,390,370,31,2963,32,2558,29,2625,16,2938,16,3181
67435,南京师范大学,,本科,2020,文科,本科第一批次,343,0,0,0,0,0,0,1,0,0,1,A-,师范,江苏,公办,1783,2,2,BB,358,360,360,360,361,24,36077,0,358,15,10603,0,0,0,0,18,6572,17,5879,0,0,0,0
67621,上海大学,,本科,2020,文科,本科第一批次,343,17,15,141,339,15,0,1,0,0,1,A-,综合,上海,公办,2112,5,29,BB,390,388,388,388,388,16,-1,0,0,0,0,383,378,39,1527,39,1393,35,1595,24,1430,17,2945
67624,上海大学,,本科,2020,文科,本科第一批次,343,6,6,148,339,6,0,1,0,0,1,A-,综合,上海,公办,2112,2,15,BB,343,388,388,388,388,8,2,0,343,0,18897,382,377,38,1668,39,1393,36,1475,0,0,0,0
69052,暨南大学,(广州),本科,2020,文科,本科第一批次,343,32,32,253,339,32,0,1,0,0,1,A-,综合,广东,公办,5407,6,76,AB,378,377,377,377,378,17,-15,0,378,35,3346,381,367,28,3722,28,3417,28,2840,15,3146,0,8773
69447,西北农林科技大学,(陕西杨凌),本科,2020,文科,本科第一批次,343,6,7,358,339,7,1,1,1,1,1,A+,农林,陕西,公办,7141,3,38,BB,373,374,374,374,374,6,0,0,373,30,4702,370,364,25,4520,20,5815,20,4864,6,6056,4,6965
69176,西南交通大学,(成都),本科,2020,文科,本科第一批次,343,28,28,337,339,28,0,1,1,0,1,A+,理工,四川,公办,6102,8,91,AB,374,372,372,372,372,25,-3,0,374,31,4401,366,363,24,4878,22,5059,19,5199,6,6056,9,5085
68811,华中农业大学,(武汉),本科,2020,文科,本科第一批次,343,18,18,336,339,18,0,1,0,0,1,A-,农林,湖北,公办,5204,3,73,B+B,370,368,368,368,368,19,1,0,370,27,5660,365,360,21,5927,19,6200,14,7054,5,6437,2,7854
67304,扬州大学,,本科,2020,文科,本科第一批次,343,695,696,533,339,696,0,0,0,0,0,B+,综合,江苏,公办,1381,28,177,BB,357,360,360,358,360,792,97,0,357,14,11103,369,348,9,11410,11,9597,9,9346,3,7328,5,6550
67430,扬州大学,,本科,2020,文科,本科第一批次,343,60,60,694,339,57,0,0,0,0,0,B+,综合,江苏,公办,1646,1,4,BC,343,348,348,348,348,60,0,0,343,0,18897,353,332,-7,21490,-10,22730,0,14645,0,0,0,0
68809,华中师范大学,(武汉),本科,2020,文科,本科第一批次,343,27,25,248,339,25,0,1,0,0,1,A-,师范,湖北,公办,5203,10,101,AB,378,378,378,378,377,29,2,0,378,35,3346,376,368,29,3474,27,3638,26,3281,13,3678,11,4475
68552,东北师范大学,(长春),本科,2020,文科,本科第一批次,343,3,3,280,339,3,0,1,1,0,1,A-,师范,吉林,公办,4202,2,57,AB,376,376,376,376,375,2,-1,0,376,33,3866,368,365,26,4240,19,6200,19,5199,6,6056,6,6164
68055,中国海洋大学,(青岛),本科,2020,文科,本科第一批次,343,13,12,186,339,12,1,1,0,1,1,A,综合,山东,公办,2621,7,69,AB,386,384,384,384,384,14,1,0,386,43,1859,383,375,36,1975,34,2177,31,2265,16,2938,15,3396
69060,华南师范大学,(广州),本科,2020,文科,本科第一批次,343,0,0,0,0,0,0,1,0,0,1,A-,师范,广东,公办,5413,3,4,BB,375,370,370,370,351,7,36077,0,375,32,4119,0,0,0,0,0,0,0,0,0,0,0,0
68406,山西大学,(太原),本科,2020,文科,本科第一批次,343,6,6,589,339,6,0,0,0,0,0,B+,综合,山西,公办,3401,6,102,B+B+,355,353,353,353,356,7,1,0,355,12,12101,348,344,5,13696,7,11633,6,10937,0,8781,0,8773
69044,华南农业大学,(广州),本科,2020,文科,本科第一批次,343,0,0,0,339,0,0,0,0,0,0,B+,农林,广东,公办,5403,1,12,,0,359,359,359,359,0,36077,0,0,0,0,0,0,0,0,5,12736,0,0,0,0,0,0
68921,湖南师范大学,(长沙),本科,2020,文科,本科第一批次,343,37,37,358,339,37,0,1,0,0,1,A-,师范,湖南,公办,5303,17,159,AB+,375,373,373,373,369,37,0,0,375,32,4119,372,364,25,4520,24,4437,9,9346,7,5665,5,6550
67099,南京工业大学,,本科,2020,文科,本科第一批次,343,449,482,611,339,482,0,0,0,0,0,A-,理工,江苏,公办,1110,17,118,BB,0,357,357,357,357,466,17,0,353,10,13139,360,346,7,12481,8,11096,6,10937,2,7788,3,7409
67446,南京工业大学,,本科,2020,文科,本科第一批次,343,0,0,0,0,0,0,0,0,0,0,A-,理工,江苏,公办,1797,1,0,BB,344,344,344,344,347,15,36077,0,344,1,18250,0,0,0,0,0,0,0,0,0,0,0,0
68245,北京工业大学,,本科,2020,文科,本科第一批次,343,4,5,373,339,5,0,1,0,0,1,A-,理工,北京,公办,3134,2,33,AB,373,371,371,371,371,4,0,0,373,30,4702,364,361,22,5554,20,5815,20,4864,6,6056,4,6965
68173,北京化工大学,,本科,2020,文科,本科第一批次,343,11,12,373,339,12,0,1,0,0,1,A-,理工,北京,公办,3109,4,30,AB+,372,370,370,370,370,12,1,0,372,29,4997,364,361,22,5554,21,5426,17,5879,6,6056,3,7409
67074,河海大学,(南京),本科,2020,文科,本科第一批次,343,79,77,253,339,77,0,1,1,0,1,A-,理工,江苏,公办,1105,16,94,AB,0,377,377,377,377,77,-2,0,378,35,3346,379,367,28,3722,28,3417,26,3281,10,4610,18,2747
69330,云南大学,(昆明),本科,2020,文科,本科第一批次,343,10,9,339,339,9,0,1,0,1,1,A-,综合,云南,公办,6401,4,37,BB,372,369,369,369,369,10,0,0,372,29,4997,365,362,23,5215,20,5815,15,6665,3,7328,4,6965
68161,北京交通大学,,本科,2020,文科,本科第一批次,343,6,6,141,339,6,0,1,1,0,1,A-,理工,北京,公办,3105,4,34,AB+,389,386,386,386,386,8,2,0,389,46,1430,380,378,39,1527,35,2017,33,1942,24,1430,26,1440
68821,中南财经政法大学,(武汉),本科,2020,文科,本科第一批次,343,64,65,141,339,65,0,1,0,0,1,A-,财经,湖北,公办,5206,18,259,AB,388,387,387,387,387,67,3,0,388,45,1551,385,378,39,1527,37,1670,36,1475,22,1761,24,1713
69379,陕西师范大学,(西安),本科,2020,文科,本科第一批次,343,14,10,253,339,10,0,1,0,0,1,A-,师范,陕西,公办,7103,8,68,BB,376,376,376,374,364,18,4,0,376,33,3866,380,367,28,3722,24,4437,22,4281,7,5665,3,7409
67314,江苏大学,(镇江),本科,2020,文科,本科第一批次,343,528,570,612,339,565,0,0,0,0,0,B+,综合,江苏,公办,1401,20,142,BB,353,354,354,354,354,535,7,0,353,10,13139,363,343,4,14285,6,12182,5,11497,0,8781,1,8292
67444,江苏大学,(镇江),本科,2020,文科,本科第一批次,343,0,0,0,0,0,0,0,0,0,0,B+,综合,江苏,公办,1796,4,4,BB,343,343,343,343,347,75,36077,0,343,0,18897,0,0,0,0,-7,20567,-8,20360,0,0,0,0
68371,燕山大学,(秦皇岛),本科,2020,文科,本科第一批次,343,4,4,538,339,4,0,0,0,0,0,B+,理工,河北,公办,3321,3,27,BB,351,357,357,357,357,6,2,0,351,8,14261,351,347,8,11943,8,11096,5,11497,0,8781,0,8773
68065,青岛大学,,本科,2020,文科,本科第一批次,343,9,9,487,339,9,0,0,0,0,0,B+,综合,山东,公办,2624,4,42,BB,358,360,360,360,360,7,-2,0,358,15,10603,359,350,11,10370,12,9090,8,9860,3,7328,2,7854
67867,福州大学,,本科,2020,文科,本科第一批次,343,14,14,337,339,14,0,1,0,0,1,A-,理工,福建,公办,2401,6,62,BB,373,372,372,372,372,14,0,0,373,30,4702,365,363,24,4878,23,4733,19,5199,5,6437,7,5791
67588,东华大学,(上海),本科,2020,文科,本科第一批次,343,20,20,198,339,20,0,1,0,0,1,A-,理工,上海,公办,2105,7,86,BB,383,383,383,383,383,21,1,0,383,40,2305,382,374,35,2161,33,2356,30,2444,17,2715,16,3181
67605,上海财经大学,,本科,2020,文科,本科第一批次,343,20,21,40,339,21,0,1,0,0,1,A-,财经,上海,公办,2110,7,52,BB,398,401,401,401,401,20,0,0,398,55,565,406,392,53,361,46,686,50,398,24,1430,47,156
67607,上海财经大学,,本科,2020,文科,本科第一批次,343,2,1,47,339,1,0,1,0,0,1,A-,财经,上海,公办,2110,1,7,BB,0,402,402,402,402,4,2,0,0,0,0,393,393,54,314,46,686,56,217,0,0,0,0
68356,河北大学,(保定),本科,2020,文科,本科第一批次,343,30,30,589,339,29,0,0,0,0,0,B+,综合,河北,公办,3312,5,12,B+B+,350,354,354,354,356,19,-11,0,350,7,14820,357,344,5,13696,0,15888,0,0,0,0,0,0
67790,合肥工业大学,,本科,2020,文科,本科第一批次,343,9,9,402,339,9,0,1,0,0,1,A-,理工,安徽,公办,2302,4,21,BB,370,367,367,367,367,11,2,0,370,27,5660,363,359,20,6263,15,7771,4,12102,0,0,0,0
67931,南昌大学,,本科,2020,文科,本科第一批次,343,23,23,339,339,23,0,1,0,0,1,A-,综合,江西,公办,2505,9,83,BB,372,370,370,370,370,23,0,0,372,29,4997,367,362,23,5215,21,5426,17,5879,6,6056,3,7409
68962,湘潭大学,,本科,2020,文科,本科第一批次,343,25,25,611,339,25,0,0,0,0,0,B+,综合,湖南,公办,5323,11,137,BB,362,356,356,356,356,24,-1,0,362,19,8728,358,346,7,12481,7,11633,5,11497,0,8781,0,8773
69337,昆明理工大学,,本科,2020,文科,本科第一批次,343,10,10,636,339,10,0,0,0,0,0,B+,理工,云南,公办,6404,3,6,BB,345,348,348,348,348,12,2,0,345,2,17642,342,340,1,16146,0,15888,0,0,0,0,0,0
68745,河南大学,(开封),本科,2020,文科,本科第一批次,343,22,22,487,339,22,0,0,0,0,1,A-,综合,河南,公办,5141,7,40,BB,361,357,357,357,357,19,-3,0,361,18,9221,359,350,11,10370,8,11096,4,12102,-1,9322,-1,9300
68136,山东师范大学,(济南),本科,2020,文科,本科第一批次,343,23,23,533,339,23,0,0,0,0,0,B+,师范,山东,公办,2711,7,31,BB,360,357,357,357,357,7,-16,0,0,0,0,363,348,9,11410,8,11096,6,10937,-2,9881,0,0
68141,山东师范大学,(济南),本科,2020,文科,本科第一批次,343,0,0,0,0,0,0,0,0,0,0,B+,师范,山东,公办,2711,2,0,BB,343,350,350,350,355,8,36077,0,343,0,18897,0,0,0,0,0,0,0,0,0,0,0,0
69092,广西大学,(南宁),本科,2020,文科,本科第一批次,343,0,0,0,0,0,0,1,0,0,1,A-,综合,广西,公办,5501,1,6,,0,0,0,0,0,0,36077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67610,上海师范大学,,本科,2020,文科,本科第一批次,343,52,52,358,339,52,0,0,0,0,0,B+,师范,上海,公办,2111,14,62,BB,374,373,373,373,373,54,2,0,0,0,0,380,364,25,4520,23,4733,20,4864,9,4937,10,4777
67617,上海师范大学,,本科,2020,文科,本科第一批次,343,6,5,624,339,1,0,0,0,0,0,B+,师范,上海,公办,2111,2,6,BB,352,363,363,363,363,7,1,0,352,9,13695,360,342,3,14897,23,4733,20,4864,0,0,0,0
67793,安徽大学,(合肥),本科,2020,文科,本科第一批次,343,43,44,358,339,44,0,1,0,0,1,A-,综合,安徽,公办,2303,14,153,BB,374,373,373,373,373,33,-10,0,374,31,4401,370,364,25,4520,24,4437,21,4554,10,4610,8,5435
68185,北京林业大学,,本科,2020,文科,本科第一批次,343,15,15,358,339,15,0,1,1,0,1,A-,林业,北京,公办,3114,7,59,BB,375,374,374,374,374,15,0,0,375,32,4119,368,364,25,4520,25,4160,23,4011,10,4610,8,5435
68359,河北师范大学,(石家庄),本科,2020,文科,本科第一批次,343,15,15,607,339,14,0,0,0,0,0,B+,师范,河北,公办,3314,5,5,BB,349,347,347,347,347,15,0,0,347,4,16499,344,339,0,16782,0,0,0,0,0,0,0,0
67176,江南大学,(无锡),本科,2020,文科,本科第一批次,343,159,163,280,339,163,0,1,0,0,1,A-,综合,江苏,公办,1201,11,101,BB,0,375,375,375,374,155,-4,0,375,32,4119,383,365,26,4240,25,4160,22,4281,11,4281,11,4475
67400,江南大学,(无锡),本科,2020,文科,本科第一批次,343,8,8,462,339,8,0,1,0,0,1,A-,综合,江苏,公办,1626,1,6,BB,359,364,364,364,364,8,0,0,359,16,10155,358,354,15,8403,15,7771,13,7455,1,8247,8,5435
69189,成都理工大学,,本科,2020,文科,本科第一批次,343,10,10,611,339,10,0,0,0,0,1,A-,理工,四川,公办,6106,4,16,BB,355,351,351,351,351,8,-2,0,355,12,12101,355,346,7,12481,4,13318,1,13980,0,0,0,0
68231,华北电力大学(北京),,本科,2020,文科,本科第一批次,343,7,7,337,339,7,0,0,0,0,0,,,北京,公办,3128,4,64,B+B+,372,371,371,371,371,7,0,0,372,29,4997,365,363,24,4878,22,5059,18,5523,11,4281,7,5791
68645,黑龙江大学,(哈尔滨),本科,2020,文科,本科第一批次,343,16,16,625,339,15,0,0,0,0,0,B+,综合,黑龙江,公办,4311,7,31,BB,347,351,351,351,351,16,0,0,345,2,17642,354,341,2,15521,2,14576,1,13980,0,8781,2,7854
68628,东北林业大学,(哈尔滨),本科,2020,文科,本科第一批次,343,6,6,405,339,6,0,1,0,0,1,A-,林业,黑龙江,公办,4303,3,50,AB,366,364,364,364,364,7,1,0,366,23,7039,358,356,17,7511,5,12736,11,8351,0,8781,1,8292
68349,河北工业大学,(天津),本科,2020,文科,本科第一批次,343,6,6,447,339,6,0,1,0,0,1,A-,理工,河北,公办,3307,3,10,BB,370,366,366,366,366,6,0,0,370,27,5660,361,358,19,6665,14,8204,7,10380,0,0,0,0
