COMPANYCODE	SSNAME	SHAREHDNAME	SHAREHDTYPE	SHARESTYPE	RANK	SCODE	SNAME	RDATE	SHAREHDNUM	LTAG	ZB	NDATE	BZ	BDBL	SHAREHDCODE	SHAREHDRATIO	BDSUM	ZDF10	ZDF30	ZDF60,NOTICEDATE,ATTACHTYPE,ATTACHSIZE,ENDDATE,NOTICETITLE,INFOCODE,CDSY_SECUCODES,ANN_RELCOLUMNS,ANN_RELCODES,EUTIME,TABLEID,Order,Url
,2020-07-21T00:00:00+08:00,0,77.0,2020-07-21T00:00:00+08:00,正元智慧:董事会关于本次交易符合《上市公司重大资产重组管理办法》第十一条及第四十三条规定的说明,AN202007201392947458,"[{'SECURITYVARIETYCODE': '1000506178', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '300645', 'SECURITYFULLNAME': '正元智慧', 'SECURITYSHORTNAME': '正元智慧', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002002', 'TRADEMARKET': '深交所创业板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80439303', 'Eid': 0}]","[{'COLUMNCODE': '001003001001003', 'COLUMNNAME': '专项说明/独立意见', 'NodeName': None, 'Eid': 0, 'Order': 999}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002002', 'SECURITYCODE': '300645', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T08:42:35+08:00,2.070000083002299e+17,999.0,"http://data.eastmoney.com/notices/detail/300645/AN202007201392947458,JWU2JWFkJWEzJWU1JTg1JTgzJWU2JTk5JWJhJWU2JTg1JWE3.html"
,2020-07-21T00:00:00+08:00,0,157.0,2020-07-21T00:00:00+08:00,正元智慧:董事会关于本次交易符合《创业板上市公司证券发行注册管理办法(试行)》第十一条、第十二条、第五十五条、第五十六条、第五十七条、第五十九条规定的说明,AN202007201392947461,"[{'SECURITYVARIETYCODE': '1000506178', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '300645', 'SECURITYFULLNAME': '正元智慧', 'SECURITYSHORTNAME': '正元智慧', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002002', 'TRADEMARKET': '深交所创业板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80439303', 'Eid': 0}]","[{'COLUMNCODE': '001003001001003', 'COLUMNNAME': '专项说明/独立意见', 'NodeName': None, 'Eid': 0, 'Order': 999}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002002', 'SECURITYCODE': '300645', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T08:42:35+08:00,2.070000083002299e+17,999.0,"http://data.eastmoney.com/notices/detail/300645/AN202007201392947461,JWU2JWFkJWEzJWU1JTg1JTgzJWU2JTk5JWJhJWU2JTg1JWE3.html"
,2020-07-21T00:00:00+08:00,0,436.0,2020-07-21T00:00:00+08:00,600267:海正药业监事会关于实施员工持股计划相关事项的核查意见,AN202007201392950894,"[{'SECURITYVARIETYCODE': '1000001872', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '600267', 'SECURITYFULLNAME': '海正药业', 'SECURITYSHORTNAME': '海正药业', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001001001', 'TRADEMARKET': '上交所主板', 'LISTINGSTATE': '0', 'COMPANYCODE': '10000218', 'Eid': 0}]","[{'COLUMNCODE': '001003001001003', 'COLUMNNAME': '专项说明/独立意见', 'NodeName': None, 'Eid': 0, 'Order': 999}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001001001', 'SECURITYCODE': '600267', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T08:42:23+08:00,2.070000083011398e+17,999.0,"http://data.eastmoney.com/notices/detail/600267/AN202007201392950894,JWU2JWI1JWI3JWU2JWFkJWEzJWU4JThkJWFmJWU0JWI4JTlh.html"
,2020-07-21T00:00:00+08:00,0,117.0,2020-07-21T00:00:00+08:00,一心堂:关于使用部分2018年可转换公司债券暂时闲置募集资金购买理财产品到期收回的公告(2020/07/21),AN202007201392947207,"[{'SECURITYVARIETYCODE': '1000011261', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '002727', 'SECURITYFULLNAME': '一心堂', 'SECURITYSHORTNAME': '一心堂', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002003', 'TRADEMARKET': '深交所中小板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80198539', 'Eid': 0}]","[{'COLUMNCODE': '001002006012003', 'COLUMNNAME': '投资理财', 'NodeName': None, 'Eid': 0, 'Order': 327}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002727', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T08:41:35+08:00,2.0700000830022954e+17,327.0,"http://data.eastmoney.com/notices/detail/002727/AN202007201392947207,JWU0JWI4JTgwJWU1JWJmJTgzJWU1JWEwJTgy.html"
,2020-07-21T00:00:00+08:00,0,82.0,2020-07-21T00:00:00+08:00,德赛电池:关于控股股东拟进行分立的提示性公告,AN202007211393051235,"[{'SECURITYVARIETYCODE': '1000001796', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '000049', 'SECURITYFULLNAME': '德赛电池', 'SECURITYSHORTNAME': '德赛电池', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002001', 'TRADEMARKET': '深交所主板', 'LISTINGSTATE': '0', 'COMPANYCODE': '10000637', 'Eid': 0}]","[{'COLUMNCODE': '001002008', 'COLUMNNAME': '其他', 'NodeName': None, 'Eid': 0, 'Order': 999}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002001', 'SECURITYCODE': '000049', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T08:11:58+08:00,2.070000083034863e+17,999.0,"http://data.eastmoney.com/notices/detail/000049/AN202007211393051235,JWU1JWJlJWI3JWU4JWI1JTliJWU3JTk0JWI1JWU2JWIxJWEw.html"
,2020-07-21T00:00:00+08:00,0,274.0,2020-07-21T00:00:00+08:00,德赛西威:关于控股股东拟进行分立的提示性公告,AN202007211393051214,"[{'SECURITYVARIETYCODE': '1000721966', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '002920', 'SECURITYFULLNAME': '德赛西威', 'SECURITYSHORTNAME': '德赛西威', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002003', 'TRADEMARKET': '深交所中小板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80340646', 'Eid': 0}]","[{'COLUMNCODE': '001002008', 'COLUMNNAME': '其他', 'NodeName': None, 'Eid': 0, 'Order': 999}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002920', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T08:11:42+08:00,2.0700000830348627e+17,999.0,"http://data.eastmoney.com/notices/detail/002920/AN202007211393051214,JWU1JWJlJWI3JWU4JWI1JTliJWU4JWE1JWJmJWU1JWE4JTgx.html"
,2020-07-21T00:00:00+08:00,0,76955.0,2020-07-21T00:00:00+08:00,605066:天正电气首次公开发行股票招股意向书附录,AN202007211392992205,"[{'SECURITYVARIETYCODE': '1001867269', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '605066', 'SECURITYFULLNAME': '天正电气', 'SECURITYSHORTNAME': '天正电气', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001001001', 'TRADEMARKET': '上交所主板', 'LISTINGSTATE': '9', 'COMPANYCODE': '80994745', 'Eid': 0}]","[{'COLUMNCODE': '001003002003', 'COLUMNNAME': '发行保荐书', 'NodeName': None, 'Eid': 0, 'Order': 999}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001001001', 'SECURITYCODE': '605066', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T08:11:34+08:00,2.070000083019304e+17,999.0,"http://data.eastmoney.com/notices/detail/605066/AN202007211392992205,JWU1JWE0JWE5JWU2JWFkJWEzJWU3JTk0JWI1JWU2JWIwJTk0.html"
,2020-07-21T00:00:00+08:00,0,97.0,2020-07-21T00:00:00+08:00,*ST金正:股票交易异常波动的更正公告,AN202007211393056038,"[{'SECURITYVARIETYCODE': '1000008671', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '002470', 'SECURITYFULLNAME': '*ST金正', 'SECURITYSHORTNAME': '*ST金正', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002005', 'TRADEMARKET': '深交所风险警示板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80148851', 'Eid': 0}]","[{'COLUMNCODE': '001002004007', 'COLUMNNAME': '股票交易异常波动', 'NodeName': None, 'Eid': 0, 'Order': 227}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002005', 'SECURITYCODE': '002470', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T08:07:54+08:00,2.0700000830355866e+17,227.0,"http://data.eastmoney.com/notices/detail/002470/AN202007211393056038,KlNUJWU5JTg3JTkxJWU2JWFkJWEz.html"
,2020-07-21T00:00:00+08:00,0,96.0,2020-07-21T00:00:00+08:00,*ST金正:股票交易异常波动的公告,AN202007211393054878,"[{'SECURITYVARIETYCODE': '1000008671', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '002470', 'SECURITYFULLNAME': '*ST金正', 'SECURITYSHORTNAME': '*ST金正', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002005', 'TRADEMARKET': '深交所风险警示板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80148851', 'Eid': 0}]","[{'COLUMNCODE': '001002004007', 'COLUMNNAME': '股票交易异常波动', 'NodeName': None, 'Eid': 0, 'Order': 227}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002005', 'SECURITYCODE': '002470', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T08:01:44+08:00,2.0700000830354614e+17,227.0,"http://data.eastmoney.com/notices/detail/002470/AN202007211393054878,KlNUJWU5JTg3JTkxJWU2JWFkJWEz.html"
,2020-07-21T00:00:00+08:00,0,758.0,2020-07-21T00:00:00+08:00,天齐锂业:关于深圳证券交易所《2019年年报的问询函》的回复公告,AN202007211393054875,"[{'SECURITYVARIETYCODE': '1000008402', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '002466', 'SECURITYFULLNAME': '天齐锂业', 'SECURITYSHORTNAME': '天齐锂业', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002003', 'TRADEMARKET': '深交所中小板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80143501', 'Eid': 0}, {'SECURITYVARIETYCODE': '1001530143', 'SECURITYTYPECODE': '058001003001', 'SECURITYCODE': 'H2381', 'SECURITYFULLNAME': '天齐锂业', 'SECURITYSHORTNAME': '天齐锂业', 'SECURITYTYPE': 'H股', 'TRADEMARKETCODE': '069002004001', 'TRADEMARKET': '香港交易所主板', 'LISTINGSTATE': '9', 'COMPANYCODE': '80143501', 'Eid': 0}]","[{'COLUMNCODE': '001002011001002', 'COLUMNNAME': '回复问询函公告', 'NodeName': None, 'Eid': 0, 'Order': 999}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002466', 'COMPANYCODE': None, 'Eid': 0}, {'CODETYPE': '058001003001', 'CODEMARKET': '069002004001', 'SECURITYCODE': 'H2381', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T08:01:44+08:00,2.0700000830354614e+17,999.0,"http://data.eastmoney.com/notices/detail/002466/AN202007211393054875,JWU1JWE0JWE5JWU5JWJkJTkwJWU5JTk0JTgyJWU0JWI4JTlh.html"
