本基金收益率数据由邢不行整理，包含了2008年-2021年所有主动偏股型基金，并剔除当年新上市基金，同一个基金的A类/C类份额中只取A类。,,,,,,,,,,,,,,
基金代码,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
217005.OF,-0.471568064,0.421557971,-0.013890659,-0.264667873,0.06572935,-0.018139842,0.160732281,0.364201997,-0.142660161,0.272217742,-0.228956887,0.574743248,0.534374812,-0.172390822
110029.OF,-0.417680595,0.423583429,-0.035354164,-0.247644857,0.055060034,0.517964559,0.045270246,0.954194286,-0.358703111,0.047584321,-0.296316333,0.557431568,0.562975811,0.207734314
519993.OF,-0.527193181,0.42980217,-0.06839991,-0.287339801,0.021848739,0.182565789,0.189986092,0.863024479,-0.082903179,-0.003017448,-0.240111367,0.314845231,0.436182974,-0.00366775
460002.OF,-0.431407385,0.431598968,0.070284596,-0.31005991,0.120059355,0.085149946,0.653385128,0.207339308,-0.166118786,0.134084165,-0.292259124,0.333631986,0.245239333,0.17560162
040001.OF,-0.454363089,0.431985294,0.050389388,-0.257158635,0.034722222,0.052013423,0.146229586,0.277420198,-0.188893135,0.044817927,-0.254691689,0.395683453,0.414172628,0.283729369
519991.OF,,0.439377623,-0.041536864,-0.146262189,0.107868021,0.248568156,0.363155707,0.271177307,-0.202377477,0.266438941,-0.201912632,0.374695823,0.598604308,-0.066307921
162207.OF,-0.46190709,0.445837877,0.162664991,-0.243593902,0.09591195,0.234511543,0.443211833,-0.025841874,-0.158037123,0.234112817,-0.250379692,0.421804149,0.543258465,-0.138151039
202001.OF,-0.529439425,0.446114972,-0.072465681,-0.208254387,-0.007058823,0.053504615,0.210725702,0.427335552,-0.118629166,0.191720915,-0.23169199,0.424355933,0.591725443,0.02180336
290002.OF,-0.48147766,0.446169155,-0.044447503,-0.312355991,-0.003350785,0.271485606,0.066765824,0.412238575,-0.3214129,0.030552861,-0.220862745,0.295550634,0.402331003,0.011983077
519015.OF,-0.423575555,0.446502057,0.052631579,-0.159459459,-0.001607717,0.090177133,0.044313146,0.254596888,-0.025930101,0.09837963,-0.190727081,0.483072917,0.538191396,-0.007204661
217001.OF,-0.442866486,0.453295321,-0.002832455,-0.321169076,0.027210884,0.118302228,0.480579999,0.467752587,-0.077063439,0.141314481,-0.248470948,0.402509325,0.533596817,-0.055931385
519007.OF,-0.522682446,0.458677686,0.123229462,-0.218158891,-0.014516129,0.119476268,0.181286549,0.125,-0.116611661,-0.03611457,-0.093023256,0.158119658,0.134071341,0.079726038
070001.OF,-0.412254643,0.459910397,0.012934922,-0.155112289,0.099213397,0.280917717,0.188848375,0.668562934,-0.090586189,0.163583169,-0.248015221,0.144526993,0.689172005,-0.070484812
257010.OF,-0.479856759,0.471600689,0.039766082,-0.23959505,0.107988165,0.081441923,0.375308642,0.563495371,-0.0940579,0.108256938,-0.261690647,0.323995128,0.392059286,0.073234602
260111.OF,,0.476663357,0.142455431,-0.300897681,-0.056399133,0.224137931,0.184976526,0.18858954,-0.158090909,0.311953353,-0.14929866,0.333666334,0.544732387,0.446235697
410001.OF,-0.547026503,0.477880842,-0.057453229,-0.363939045,-0.07187437,0.388720173,0.232583568,0.467621341,-0.190139021,0.079752639,-0.21625358,0.424215699,0.287331918,0.26868509
519181.OF,-0.560897133,0.484698276,-0.055160401,-0.255185128,-0.004331684,0.212554382,0.066119938,0.625160256,-0.078493245,0.183548161,-0.252823315,0.521371689,0.698216002,0.294012369
210002.OF,,0.487712286,0.089269755,-0.288799933,-0.025562852,0.23622142,0.401366288,0.462640887,0.053272834,0.034702832,-0.215188898,0.164063267,0.152417926,0.416436845
