date,code,name,weight
str,603659,璞泰来,0.09
str,603712,七一二,0.05
str,603766,隆鑫通用,0.13
str,603806,福斯特,0.09
str,603816,顾家家居,0.19
str,603866,桃李面包,0.09
str,603868,飞科电器,0.05
str,603877,太平鸟,0.03
str,603883,老百姓,0.18
str,603885,吉祥航空,0.2
str,603888,新华网,0.13
str,603899,晨光文具,0.26
str,000006,深振业Ａ,0.16
str,000008,神州高铁,0.26
str,000009,中国宝安,0.36
str,000012,南  玻Ａ,0.15
str,000021,深科技,0.17
str,000025,特力A,0.07
str,000027,深圳能源,0.19
str,000028,国药一致,0.19
str,000031,大悦城,0.19
str,000039,中集集团,0.33
str,000049,德赛电池,0.11
str,000060,中金岭南,0.32
str,000061,农 产 品,0.1
str,000062,深圳华强,0.12
str,000066,中国长城,0.46
str,000078,海王生物,0.18
str,000089,深圳机场,0.26
str,000090,天健集团,0.12
str,000156,华数传媒,0.17
str,000158,常山北明,0.14
str,000400,许继电气,0.16
str,000401,冀东水泥,0.41
str,000418,小天鹅Ａ,0.31
str,000426,兴业矿业,0.12
str,000488,晨鸣纸业,0.23
str,000501,鄂武商Ａ,0.12
str,000513,丽珠集团,0.25
str,000519,中兵红箭,0.15
str,000528,柳工,0.2
str,000536,华映科技,0.12
str,000537,广宇发展,0.13
str,000541,佛山照明,0.1
str,000543,皖能电力,0.14
str,000547,航天发展,0.3
str,000552,靖远煤电,0.09
str,000559,万向钱潮,0.23
str,000563,陕国投Ａ,0.26
str,000564,供销大集,0.16
str,000581,威孚高科,0.34
str,000587,金洲慈航,0.08
str,000596,古井贡酒,0.31
str,000598,兴蓉环境,0.21
str,000600,建投能源,0.14
str,000612,焦作万方,0.12
str,000623,吉林敖东,0.42
str,000636,风华高科,0.28
str,000656,金科股份,0.49
str,000667,美好置业,0.18
str,000681,视觉中国,0.28
str,000685,中山公用,0.19
str,000686,东北证券,0.36
str,000690,宝新能源,0.36
str,000712,锦龙股份,0.16
str,000717,韶钢松山,0.17
str,000718,苏宁环球,0.15
str,000723,美锦能源,0.28
str,000727,华东科技,0.18
str,000729,燕京啤酒,0.23
str,000732,泰禾集团,0.24
str,000738,航发控制,0.22
str,000750,国海证券,0.45
str,000758,中色股份,0.17
str,000761,本钢板材,0.04
str,000766,通化金马,0.11
str,000778,新兴铸管,0.36
str,000807,云铝股份,0.19
str,000813,德展健康,0.32
str,000829,天音控股,0.09
str,000830,鲁西化工,0.37
str,000848,承德露露,0.13
str,000860,顺鑫农业,0.6
str,000877,天山股份,0.19
str,000878,云南铜业,0.21
str,000887,中鼎股份,0.23
str,000926,福星股份,0.15
str,000930,中粮生化,0.24
str,000932,华菱钢铁,0.23
str,000937,冀中能源,0.12
str,000960,锡业股份,0.3
str,000969,安泰科技,0.11
str,000970,中科三环,0.21
str,000975,银泰资源,0.27
str,000980,众泰汽车,0.13
str,000987,越秀金控,0.08
str,000988,华工科技,0.23
str,000990,诚志股份,0.16
str,000997,新 大 陆,0.31
str,000998,隆平高科,0.36
str,000999,华润三九,0.28
str,002002,鸿达兴业,0.18
str,002004,华邦健康,0.21
str,002013,中航机电,0.29
str,002019,亿帆医药,0.24
str,002028,思源电气,0.14
str,002030,达安基因,0.19
str,002038,双鹭药业,0.28
str,002041,登海种业,0.06
str,002048,宁波华翔,0.12
str,002049,紫光国微,0.48
str,002051,中工国际,0.21
str,002056,横店东磁,0.14
str,002064,华峰氨纶,0.16
str,002074,国轩高科,0.3
str,002078,太阳纸业,0.28
str,002092,中泰化学,0.34
str,002093,国脉科技,0.12
str,002110,三钢闽光,0.27
str,002118,紫鑫药业,0.13
str,002127,南极电商,0.35
str,002128,露天煤业,0.15
str,002129,中环股份,0.41
str,002131,利欧股份,0.19
str,002147,ST新光,0.06
str,002152,广电运通,0.22
str,002155,湖南黄金,0.18
str,002174,游族网络,0.32
str,002176,江特电机,0.21
str,002183,怡亚通,0.21
str,002191,劲嘉股份,0.32
str,002195,二三四五,0.47
str,002212,南洋股份,0.2
str,002221,东华能源,0.29
str,002223,鱼跃医疗,0.38
str,002233,塔牌集团,0.11
str,002242,九阳股份,0.18
str,002244,滨江集团,0.18
str,002249,大洋电机,0.16
str,002250,联化科技,0.19
str,002251,步步高,0.08
str,002254,泰和新材,0.12
str,002266,浙富控股,0.2
str,002268,卫士通,0.44
str,002273,水晶光电,0.25
str,002276,万马股份,0.13
str,002277,友阿股份,0.1
str,002280,联络互动,0.16
str,002281,光迅科技,0.31
str,002285,世联行,0.19
str,002299,圣农发展,0.31
str,002302,西部建设,0.14
str,002308,威创股份,0.08
str,002317,众生药业,0.16
str,002332,仙琚制药,0.14
str,002340,格林美,0.37
str,002344,海宁皮城,0.09
str,002345,潮宏基,0.06
str,002353,杰瑞股份,0.28
str,002354,天神娱乐,0.08
str,002358,森源电气,0.2
str,002359,北讯集团,0.15
str,002366,台海核电,0.17
str,002368,太极股份,0.23
str,002371,北方华创,0.32
str,002372,伟星新材,0.26
str,002373,千方科技,0.35
str,002375,亚厦股份,0.11
str,002384,东山精密,0.46
str,002385,大北农,0.28
str,002390,信邦制药,0.12
str,002399,海普瑞,0.24
str,002400,省广集团,0.17
str,002407,多氟多,0.21
str,002408,齐翔腾达,0.18
str,002410,广联达,0.5
str,002414,高德红外,0.17
str,002416,爱施德,0.06
str,002424,贵州百灵,0.11
str,002426,胜利精密,0.18
str,002431,棕榈股份,0.14
str,002434,万里扬,0.1
str,002437,誉衡药业,0.11
str,002439,启明星辰,0.4
str,002440,闰土股份,0.25
str,002444,巨星科技,0.16
str,002463,沪电股份,0.35
str,002465,海格通信,0.39
str,002470,金正大,0.31
str,002477,雏鹰农牧,0.09
str,002482,广田集团,0.1
str,002489,浙江永强,0.11
str,002491,通鼎互联,0.2
str,002500,山西证券,0.41
str,002503,搜于特,0.11
str,002505,大康农业,0.15
str,002506,协鑫集成,0.27
str,002507,涪陵榨菜,0.37
str,002509,天广中茂,0.11
str,002512,达华智能,0.1
str,002517,恺英网络,0.13
str,002544,杰赛科技,0.13
str,002563,森马服饰,0.16
str,002573,清新环境,0.15
str,002583,海能达,0.25
str,002588,史丹利,0.07
str,002589,瑞康医药,0.24
str,002603,以岭药业,0.2
str,002635,安洁科技,0.11
str,002640,跨境通,0.18
str,002642,荣之联,0.08
str,002663,普邦股份,0.12
str,002665,首航节能,0.13
str,002670,国盛金控,0.29
str,002672,东江环保,0.15
str,002681,奋达科技,0.08
str,002690,美亚光电,0.19
str,002699,美盛文化,0.09
str,002701,奥瑞金,0.18
str,002707,众信旅游,0.1
str,002709,天赐材料,0.13
str,002745,木林森,0.15
str,002807,江阴银行,0.14
str,002815,崇达技术,0.11
str,002818,富森美,0.09
str,002831,裕同科技,0.23
str,002839,张家港行,0.16
str,002916,深南电路,0.26
str,002920,德赛西威,0.08
str,300001,特锐德,0.28
str,300002,神州泰岳,0.21
str,300010,立思辰,0.18
str,300026,红日药业,0.16
str,300027,华谊兄弟,0.27
str,300055,万邦达,0.15
str,300058,蓝色光标,0.18
str,300088,长信科技,0.27
str,300113,顺网科技,0.21
str,300115,长盈精密,0.17
str,300133,华策影视,0.14
str,300134,大富科技,0.14
str,300146,汤臣倍健,0.5
str,300156,神雾环保,0.06
str,300159,新研股份,0.15
str,300166,东方国信,0.28
str,300168,万达信息,0.34
str,300182,捷成股份,0.26
str,300197,铁汉生态,0.16
str,300199,翰宇药业,0.12
str,300202,聚龙股份,0.06
str,300244,迪安诊断,0.17
str,300253,卫宁健康,0.41
str,300257,开山股份,0.12
str,300266,兴源环境,0.1
str,300274,阳光电源,0.28
str,300287,飞利信,0.15
str,300291,华录百纳,0.07
str,300297,蓝盾股份,0.11
str,300308,中际旭创,0.13
str,300315,掌趣科技,0.28
str,300316,晶盛机电,0.23
str,300324,旋极信息,0.21
str,300347,泰格医药,0.58
str,300376,易事特,0.13
str,300383,光环新网,0.43
str,300413,芒果超媒,0.33
str,300418,昆仑万维,0.21
str,300450,先导智能,0.41
str,300459,金科文化,0.16
