code,name,industry,area
600892,大晟文化,影视音像,深圳
002505,大康农业,农业综合,湖南
000800,一汽轿车,汽车整车,吉林
300139,晓程科技,元器件,北京
603168,莎普爱思,化学制药,浙江
002408,齐翔腾达,化工原料,山东
002439,启明星辰,软件服务,北京
000637,茂化实华,石油加工,广东
002359,北讯集团,通信设备,深圳
603886,元祖股份,食品,上海
600810,神马股份,化纤,河南
002574,明牌珠宝,服饰,浙江
300081,恒信东方,文教休闲,河北
603010,万盛股份,化工原料,浙江
601777,力帆股份,摩托车,重庆
300337,银邦股份,铝,江苏
600763,通策医疗,医疗保健,浙江
300266,兴源环境,环境保护,浙江
300125,易世达,电气设备,辽宁
603036,如通股份,专用机械,江苏
603611,诺力股份,运输设备,浙江
300396,迪瑞医疗,医疗保健,吉林
002498,汉缆股份,电气设备,山东
000155,川能动力,农药化肥,四川
601619,嘉泽新能,新型电力,宁夏
002713,东易日盛,装修装饰,北京
300188,美亚柏科,软件服务,福建
600776,东方通信,通信设备,浙江
000669,金鸿控股,供气供热,吉林
002910,庄园牧场,乳制品,甘肃
002865,钧达股份,汽车配件,海南
002584,西陇科学,化工原料,广东
300413,芒果超媒,影视音像,湖南
002229,鸿博股份,广告包装,福建
300297,蓝盾股份,软件服务,广东
600617,国新能源,供气供热,山西
300309,吉艾科技,多元金融,北京
002176,江特电机,电气设备,江西
000566,海南海药,化学制药,海南
600529,山东药玻,医疗保健,山东
002825,纳尔股份,化工原料,上海
002138,顺络电子,元器件,深圳
002847,盐津铺子,食品,湖南
600846,同济科技,综合类,上海
300123,亚光科技,船舶,湖南
603721,中广天择,影视音像,湖南
000752,ST西发,啤酒,西藏
603026,石大胜华,化工原料,山东
300187,永清环保,环境保护,湖南
600706,曲江文旅,旅游服务,陕西
000411,英特集团,医药商业,浙江
600241,时代万恒,商贸代理,辽宁
002374,丽鹏股份,建筑施工,山东
300662,科锐国际,综合类,北京
002667,鞍重股份,工程机械,辽宁
000007,全新好,酒店餐饮,深圳
601010,文峰股份,超市连锁,江苏
600499,科达洁能,专用机械,广东
000673,当代东方,影视音像,山西
002700,新疆浩源,供气供热,新疆
600583,海油工程,石油开采,天津
002735,王子新材,塑料,深圳
002602,世纪华通,汽车配件,浙江
002951,金时科技,广告包装,四川
002665,首航节能,电气设备,北京
603956,威派格,专用机械,上海
600478,科力远,元器件,湖南
002504,弘高创意,装修装饰,北京
002360,同德化工,化工原料,山西
002017,东信和平,通信设备,广东
600512,腾达建设,建筑施工,浙江
002059,云南旅游,旅游景点,云南
002666,德联集团,化工原料,广东
603536,惠发股份,食品,山东
002778,高科石化,石油加工,江苏
300404,博济医药,医疗保健,广东
600853,龙建股份,建筑施工,黑龙江
600510,黑牡丹,全国地产,江苏
002477,雏鹰农牧,农业综合,河南
002877,智能自控,电器仪表,江苏
002463,沪电股份,元器件,江苏
600984,建设机械,工程机械,陕西
600387,海越能源,石油贸易,浙江
300633,开立医疗,医疗保健,深圳
600652,游久游戏,互联网,上海
600262,北方股份,汽车整车,内蒙
002575,群兴玩具,文教休闲,广东
600783,鲁信创投,矿物制品,山东
002727,一心堂,医药商业,云南
600202,哈空调,电气设备,黑龙江
000554,泰山石油,石油贸易,山东
300603,立昂技术,通信设备,新疆
002556,辉隆股份,其他商业,安徽
002240,威华股份,家居用品,广东
600096,云天化,农药化肥,云南
603022,新通联,广告包装,上海
600766,园城黄金,黄金,山东
600777,新潮能源,综合类,山东
600748,上实发展,全国地产,上海
300211,亿通科技,通信设备,江苏
002912,中新赛克,软件服务,深圳
600635,大众公用,供气供热,上海
600352,浙江龙盛,染料涂料,浙江
002369,卓翼科技,通信设备,深圳
002440,闰土股份,染料涂料,浙江
601011,宝泰隆,焦炭加工,黑龙江
600917,重庆燃气,供气供热,重庆
600166,福田汽车,汽车整车,北京
300012,华测检测,电器仪表,深圳
300444,双杰电气,电气设备,北京
000048,*ST康达,饲料,深圳
600875,东方电气,电气设备,四川
000096,广聚能源,石油贸易,深圳
600354,敦煌种业,种植业,甘肃
600618,氯碱化工,化工原料,上海
002721,金一文化,服饰,北京
603598,引力传媒,影视音像,北京
300630,普利制药,化学制药,海南
002423,中原特钢,特种钢,河南
000038,深大通,广告包装,深圳
600277,亿利洁能,综合类,内蒙
002249,大洋电机,电气设备,广东
300406,九强生物,生物制药,北京
002243,通产丽星,塑料,深圳
000622,恒立实业,汽车配件,湖南
002714,牧原股份,农业综合,河南
000538,云南白药,中成药,云南
300710,万隆光电,通信设备,浙江
300283,温州宏丰,电气设备,浙江
600127,金健米业,农业综合,湖南
002148,北纬科技,互联网,北京
002238,天威视讯,影视音像,深圳
002627,宜昌交运,公共交通,湖北
002822,中装建设,装修装饰,深圳
000713,丰乐种业,种植业,安徽
000790,泰合健康,中成药,四川
000017,深中华A,文教休闲,深圳
600152,维科技术,电气设备,浙江
600018,上港集团,港口,上海
300015,爱尔眼科,医疗保健,湖南
002147,ST新光,区域地产,安徽
000421,南京公用,供气供热,江苏
603897,长城科技,电气设备,浙江
002852,道道全,食品,湖南
603800,道森股份,专用机械,江苏
600128,弘业股份,商贸代理,江苏
603839,安正时尚,服饰,浙江
002820,桂发祥,食品,天津
603638,DR艾迪精,专用机械,山东
002291,星期六,服饰,广东
000821,京山轻机,轻工机械,湖北
300454,深信服,软件服务,深圳
300213,佳讯飞鸿,通信设备,北京
002425,凯撒文化,互联网,广东
002111,威海广泰,航空,山东
600438,通威股份,饲料,四川
002931,锋龙股份,汽车配件,浙江
600767,ST运盛,医疗保健,上海
600305,恒顺醋业,食品,江苏
603739,蔚蓝生物,农业综合,山东
002746,仙坛股份,农业综合,山东
002182,云海金属,小金属,江苏
600584,长电科技,半导体,江苏
600498,烽火通信,通信设备,湖北
300234,开尔新材,陶瓷,浙江
002651,利君股份,专用机械,四川
002881,美格智能,通信设备,深圳
600235,民丰特纸,造纸,浙江
002634,棒杰股份,服饰,浙江
603042,华脉科技,通信设备,江苏
300084,海默科技,石油开采,甘肃
600165,新日恒力,钢加工,宁夏
600095,哈高科,区域地产,黑龙江
002234,民和股份,农业综合,山东
603300,华铁科技,钢加工,浙江
002023,海特高新,航空,四川
600704,物产中大,商贸代理,浙江
600547,山东黄金,黄金,山东
600831,广电网络,影视音像,陕西
002418,康盛股份,机械基件,浙江
300282,三盛教育,文教休闲,北京
300696,爱乐达,航空,四川
600992,贵绳股份,钢加工,贵州
603535,嘉诚国际,仓储物流,广东
300298,三诺生物,医疗保健,湖南
600624,复旦复华,综合类,上海
002691,冀凯股份,专用机械,河北
000530,大冷股份,机械基件,辽宁
002306,*ST云网,酒店餐饮,北京
300403,汉宇集团,家用电器,广东
600963,岳阳林纸,造纸,湖南
000915,山大华特,化学制药,山东
300702,天宇股份,化学制药,浙江
002309,中利集团,电气设备,江苏
300610,晨化股份,化工原料,江苏
300375,鹏翎股份,汽车配件,天津
002033,丽江旅游,旅游景点,云南
603906,龙蟠科技,化工原料,江苏
300179,四方达,矿物制品,河南
603819,神力股份,电气设备,江苏
600120,浙江东方,商贸代理,浙江
002108,沧州明珠,塑料,河北
000613,大东海A,旅游服务,海南
603806,福斯特,塑料,浙江
000886,海南高速,路桥,海南
002583,海能达,通信设备,深圳
300483,沃施股份,专用机械,上海
002355,兴民智通,汽车配件,山东
002629,仁智股份,石油开采,浙江
603811,诚意药业,化学制药,浙江
002190,*ST集成,汽车配件,四川
002519,银河电子,通信设备,江苏
002816,和科达,专用机械,深圳
603979,金诚信,建筑施工,北京
002506,协鑫集成,电气设备,上海
600088,中视传媒,影视音像,上海
300376,易事特,电气设备,广东
601811,新华文轩,出版业,四川
002458,益生股份,农业综合,山东
600753,东方银星,批发业,河南
300069,金利华电,电气设备,浙江
300262,巴安水务,环境保护,上海
000059,华锦股份,石油加工,辽宁
300094,国联水产,渔业,广东
600882,妙可蓝多,乳制品,上海
603113,金能科技,化工原料,山东
002911,佛燃股份,供气供热,广东
000099,中信海直,空运,深圳
603367,辰欣药业,化学制药,山东
300766,每日互动,互联网,浙江
603881,数据港,电信运营,上海
603669,灵康药业,化学制药,西藏
603032,德新交运,公路,新疆
600682,南京新百,百货,江苏
300010,立思辰,软件服务,北京
300140,中环装备,电气设备,陕西
300567,精测电子,电器仪表,湖北
002079,苏州固锝,半导体,江苏
002247,聚力文化,软件服务,浙江
600833,第一医药,医药商业,上海
600278,东方创业,商贸代理,上海
002272,川润股份,机械基件,四川
002164,宁波东力,电气设备,浙江
000888,峨眉山Ａ,旅游景点,四川
002127,南极电商,互联网,江苏
300332,天壕环境,环境保护,北京
000428,华天酒店,酒店餐饮,湖南
300322,硕贝德,通信设备,广东
002371,北方华创,专用机械,北京
300312,邦讯技术,通信设备,北京
