date,open,high,low,close,volume
2017-08-17,16.29,16.48,16.17,16.36,7730.0
2017-08-18,16.28,16.71,16.1,16.68,20057.0
2017-08-21,16.71,16.85,16.51,16.6,22.0
2017-08-09,16.44,16.65,16.42,16.57,9745.0
2017-08-10,16.56,16.56,16.03,16.06,12045.0
2017-08-11,15.85,16.18,15.61,15.75,10511.0
2017-08-14,15.7,16.18,15.7,16.11,7781.0
2017-08-15,16.2,16.24,15.95,16.02,8301.0
2017-08-16,16.2,16.28,15.98,16.21,7621.0

