date,code,name,weight
str,603019,中科曙光,0.58
str,603025,大豪科技,0.04
str,603056,德邦股份,0.08
str,603077,和邦生物,0.26
str,603169,兰石重装,0.06
str,603188,亚邦股份,0.12
str,603198,迎驾贡酒,0.12
str,603225,新凤鸣,0.06
str,603228,景旺电子,0.11
str,603328,依顿电子,0.09
str,603355,莱克电气,0.07
str,603369,今世缘,0.32
str,603377,东方时尚,0.07
str,603444,吉比特,0.1
str,603515,欧普照明,0.15
str,603556,海兴电力,0.1
str,603568,伟明环保,0.1
str,603569,长久物流,0.03
str,603589,口子窖,0.52
str,603658,安图生物,0.2
str,603659,璞泰来,0.12
str,603766,隆鑫通用,0.16
str,603806,福斯特,0.07
str,603816,顾家家居,0.27
str,603868,飞科电器,0.07
str,603877,太平鸟,0.05
str,603883,老百姓,0.2
str,603885,吉祥航空,0.23
str,603888,新华网,0.1
str,603899,晨光文具,0.25
str,000006,深振业Ａ,0.16
str,000008,神州高铁,0.31
str,000009,中国宝安,0.3
str,000012,南  玻Ａ,0.15
str,000021,深科技,0.14
str,000025,特力A,0.05
str,000027,深圳能源,0.17
str,000028,国药一致,0.21
str,000031,中粮地产,0.18
str,000039,中集集团,0.33
str,000049,德赛电池,0.1
str,000061,农 产 品,0.1
str,000062,深圳华强,0.12
str,000066,中国长城,0.35
str,000078,海王生物,0.22
str,000089,深圳机场,0.22
str,000090,天健集团,0.13
str,000156,华数传媒,0.16
str,000158,常山北明,0.13
str,000400,许继电气,0.13
str,000401,冀东水泥,0.24
str,000418,小天鹅Ａ,0.43
str,000426,兴业矿业,0.15
str,000488,晨鸣纸业,0.32
str,000501,鄂武商Ａ,0.13
str,000513,丽珠集团,0.35
str,000519,中兵红箭,0.15
str,000528,柳工,0.24
str,000536,华映科技,0.11
str,000541,佛山照明,0.11
str,000543,皖能电力,0.13
str,000547,航天发展,0.22
str,000552,靖远煤电,0.11
str,000553,沙隆达Ａ,0.2
str,000563,陕国投Ａ,0.15
str,000566,海南海药,0.34
str,000572,海马汽车,0.11
str,000581,威孚高科,0.36
str,000587,金洲慈航,0.15
str,000592,平潭发展,0.12
str,000596,古井贡酒,0.29
str,000598,兴蓉环境,0.2
str,000600,建投能源,0.11
str,000612,焦作万方,0.14
str,000636,风华高科,0.32
str,000656,金科股份,0.36
str,000661,长春高新,0.87
str,000667,美好置业,0.15
str,000681,视觉中国,0.28
str,000685,中山公用,0.2
str,000686,东北证券,0.25
str,000690,宝新能源,0.34
str,000703,恒逸石化,0.48
str,000712,锦龙股份,0.13
str,000718,苏宁环球,0.16
str,000727,华东科技,0.14
str,000729,燕京啤酒,0.27
str,000732,泰禾集团,0.27
str,000738,航发控制,0.17
str,000750,国海证券,0.3
str,000758,中色股份,0.17
str,000761,本钢板材,0.05
str,000762,西藏矿业,0.11
str,000766,通化金马,0.13
str,000778,新兴铸管,0.29
str,000806,银河生物,0.08
str,000807,云铝股份,0.23
str,000813,德展健康,0.21
str,000825,太钢不锈,0.38
str,000829,天音控股,0.11
str,000830,鲁西化工,0.49
str,000848,承德露露,0.18
str,000860,顺鑫农业,0.42
str,000877,天山股份,0.12
str,000878,云南铜业,0.23
str,000887,中鼎股份,0.3
str,000926,福星股份,0.16
str,000930,中粮生化,0.28
str,000937,冀中能源,0.12
str,000960,锡业股份,0.28
str,000969,安泰科技,0.11
str,000970,中科三环,0.22
str,000975,银泰资源,0.28
str,000977,浪潮信息,0.52
str,000979,中弘股份,0.19
str,000980,众泰汽车,0.12
str,000987,越秀金控,0.06
str,000988,华工科技,0.25
str,000990,诚志股份,0.1
str,000997,新 大 陆,0.31
str,000999,华润三九,0.31
str,001696,宗申动力,0.1
str,002002,鸿达兴业,0.13
str,002004,华邦健康,0.2
str,002011,盾安环境,0.1
str,002013,中航机电,0.31
str,002019,亿帆医药,0.3
str,002022,科华生物,0.14
str,002028,思源电气,0.25
str,002030,达安基因,0.24
str,002038,双鹭药业,0.44
str,002041,登海种业,0.07
str,002048,宁波华翔,0.13
str,002049,紫光国微,0.53
str,002051,中工国际,0.24
str,002056,横店东磁,0.16
str,002064,华峰氨纶,0.14
str,002073,软控股份,0.12
str,002078,太阳纸业,0.42
str,002092,中泰化学,0.35
str,002093,国脉科技,0.11
str,002110,三钢闽光,0.31
str,002118,紫鑫药业,0.1
str,002127,南极电商,0.32
str,002128,露天煤业,0.17
str,002129,中环股份,0.41
str,002131,利欧股份,0.2
str,002147,新光圆成,0.3
str,002152,广电运通,0.2
str,002155,湖南黄金,0.16
str,002174,游族网络,0.25
str,002176,江特电机,0.32
str,002179,中航光电,0.43
str,002180,纳思达,0.16
str,002183,怡亚通,0.28
str,002190,成飞集成,0.09
str,002191,劲嘉股份,0.19
str,002195,二三四五,0.32
str,002212,南洋股份,0.15
str,002221,东华能源,0.27
str,002223,鱼跃医疗,0.33
str,002233,塔牌集团,0.15
str,002242,九阳股份,0.15
str,002244,滨江集团,0.23
str,002249,大洋电机,0.14
str,002250,联化科技,0.16
str,002251,步步高,0.11
str,002254,泰和新材,0.14
str,002261,拓维信息,0.09
str,002266,浙富控股,0.17
str,002268,卫士通,0.36
str,002273,水晶光电,0.25
str,002276,万马股份,0.1
str,002277,友阿股份,0.13
str,002280,联络互动,0.21
str,002281,光迅科技,0.23
str,002285,世联行,0.18
str,002299,圣农发展,0.22
str,002302,西部建设,0.12
str,002308,威创股份,0.13
str,002317,众生药业,0.17
str,002332,仙琚制药,0.16
str,002340,格林美,0.45
str,002342,巨力索具,0.07
str,002344,海宁皮城,0.09
str,002345,潮宏基,0.11
str,002353,杰瑞股份,0.22
str,002354,天神娱乐,0.15
str,002358,森源电气,0.2
str,002359,北讯集团,0.3
str,002366,台海核电,0.21
str,002368,太极股份,0.2
str,002371,北方华创,0.26
str,002373,千方科技,0.27
str,002375,亚厦股份,0.1
str,002384,东山精密,0.29
str,002390,信邦制药,0.17
str,002399,海普瑞,0.23
str,002400,省广集团,0.16
str,002407,多氟多,0.26
str,002408,齐翔腾达,0.31
str,002410,广联达,0.52
str,002414,高德红外,0.09
str,002416,爱施德,0.06
str,002424,贵州百灵,0.14
str,002426,胜利精密,0.21
str,002428,云南锗业,0.11
str,002431,棕榈股份,0.2
str,002434,万里扬,0.13
str,002437,誉衡药业,0.15
str,002439,启明星辰,0.32
str,002440,闰土股份,0.23
